species_index,genus,species,diameter,index1,acc1,index2,acc2
280,Brucella,neotomae,0.0012152308938698352,947,GCF_000158715.1,19545,GCF_000742255.1
281,Brucella,ovis,0.003729281767955801,7077,GCF_000370905.1,8132,GCF_000413515.1
282,Brucella,pinnipedialis,0.05409318241642538,925,GCF_000157795.1,945,GCF_000158675.1
283,Brucella,suis,0.0713532049591137,924,GCF_000157775.1,6874,GCF_000365565.1
284,Buchnera,aphidicola,0.9566602931803697,1627,GCF_000183285.1,10865,GCF_000521525.1
285,Burkholderia,anthina,0.4610263522884882,43222,GCF_001532915.1,43790,GCF_001547525.1
286,Burkholderia,cenocepacia,0.8091559370529328,5747,GCF_000333135.2,43594,GCF_001541445.1
287,Burkholderia,cepacia,0.6936424113572457,42938,GCF_001526205.1,43089,GCF_001529755.1
288,Burkholderia,contaminans,0.6363910681955341,24023,GCF_000987075.1,24811,GCF_001029145.1
289,Burkholderia,diffusa,0.4230496094146292,42808,GCF_001522375.1,43233,GCF_001533185.1
290,Burkholderia,dolosa,0.018839487565938208,10327,GCF_000497165.1,23785,GCF_000974835.2
291,Burkholderia,gladioli,0.6018546215973676,1900,GCF_000194745.1,19921,GCF_000756855.1
292,Burkholderia,glumae,0.454653795733524,448,GCF_000022645.2,4715,GCF_000300395.1
293,Burkholderia,lata,0.2130020172382175,25186,GCF_001038745.1,25189,GCF_001038835.1
294,Burkholderia,mallei,0.1910642934980022,803,GCF_000153085.1,45378,GCF_001608345.1
295,Burkholderia,multivorans,0.9100295913870176,19896,GCF_000756005.1,25626,GCF_001056435.1
296,Burkholderia,oklahomensis,0.2545988897354958,1269,GCF_000170355.1,23391,GCF_000959365.1
297,Burkholderia,pseudomallei,0.3746807329261521,7834,GCF_000401155.1,19942,GCF_000757305.1
298,Burkholderia,pseudomultivorans,0.7013564760793466,19884,GCF_000755725.1,43182,GCF_001532035.1
299,Burkholderia,stagnalis,0.49955602912448943,42981,GCF_001527285.1,43285,GCF_001534225.1
300,Burkholderia,territorii,0.6428627543404823,42806,GCF_001522355.1,43096,GCF_001529965.1
301,Burkholderia,thailandensis,0.8248811410459588,1275,GCF_000170495.1,1556,GCF_000179515.1
302,Burkholderia,ubonensis,0.7136413340623291,42812,GCF_001522505.1,43139,GCF_001530885.1
303,Burkholderia,vietnamiensis,0.6110506260206859,42915,GCF_001525645.1,43108,GCF_001530215.1
304,Butyrivibrio,fibrisolvens,0.6136089923725412,8365,GCF_000420985.1,8401,GCF_000424425.1
305,Butyrivibrio,proteoclasticus,0.5640269587194608,675,GCF_000145035.1,15095,GCF_000621465.1
306,Caballeronia,Paraburkholderia zhejiangensis,0.1276300119094879,18385,GCF_000698575.1,20377,GCF_000773055.1
307,Caldanaerobacter,subterraneus,0.5098634294385432,867,GCF_000156275.2,9541,GCF_000473865.1
308,Caldibacillus,debilis,0.3627764284801227,7264,GCF_000383875.1,44886,GCF_001587535.1
309,Campylobacter,coli,0.8577194752774975,3194,GCF_000253935.1,42434,GCF_001498675.1
310,Campylobacter,concisus,0.733357452966715,9369,GCF_000466665.1,9370,GCF_000466685.1
311,Campylobacter,curvus,0.6315419740077274,330,GCF_000017465.1,7176,GCF_000376325.1
312,Campylobacter,fetus,0.9701104613385315,20399,GCF_000773615.1,42421,GCF_001486965.1
313,Campylobacter,gracilis,0.00043782837127845885,1437,GCF_000175875.1,31684,GCF_001190745.1
314,Campylobacter,iguaniorum,0.24931921331316187,19383,GCF_000736415.1,42368,GCF_001483985.1
315,Campylobacter,jejuni,0.7276573241671074,3211,GCF_000254295.1,18482,GCF_000701745.1
316,Campylobacter,lari,0.5727826675693974,21915,GCF_000816425.1,24438,GCF_001017575.1
317,Campylobacter,subantarcticus,0.3293147208121827,21911,GCF_000816265.1,21912,GCF_000816305.1
318,Campylobacter,upsaliensis,0.6375291375291375,1176,GCF_000167395.1,15083,GCF_000620965.1
319,Capnocytophaga,canimorsus,0.480526758195573,22257,GCF_000827635.1,23105,GCF_000947275.1
320,Capnocytophaga,canis,0.3536723163841808,22254,GCF_000827555.1,22260,GCF_000827715.1
321,Capnocytophaga,cynodegmi,0.6057827926657263,22256,GCF_000827615.1,22261,GCF_000827735.1
322,Capnocytophaga,ochracea,0.6089082020640956,1644,GCF_000183985.1,25647,GCF_001057035.1
323,Carnobacterium,divergens,0.0002203128442388191,19598,GCF_000744255.1,41042,GCF_001437085.1
324,Carnobacterium,inhibens,0.42318387208898156,10258,GCF_000493735.1,19619,GCF_000746825.1
325,Carnobacterium,jeotgali,0.01925307353282301,18719,GCF_000708655.1,19603,GCF_000745125.1
326,Carnobacterium,maltaromaticum,0.37416421503075686,2697,GCF_000238575.1,19602,GCF_000744945.1
327,Catabacter,hongkongensis,0.33827025050283416,23829,GCF_000981035.1,42501,GCF_001507385.1
328,Caulobacter,henricii,0.21627515115472296,19604,GCF_000745545.1,19605,GCF_000745595.1
329,Caulobacter,vibrioides,0.007139970362387175,19,GCF_000006905.1,439,GCF_000022005.1
330,Cellulophaga,baltica,0.5069611137782045,9414,GCF_000468575.1,9415,GCF_000468595.1
331,Cellulophaga,lytica,0.1879473562687601,1783,GCF_000190595.1,19744,GCF_000750195.1
332,Chania,multitudinisentens,0.0005545081512698237,10836,GCF_000520015.2,12925,GCF_000568195.1
333,Chlamydia,abortus,0.0935700575815739,2078,GCF_000213905.1,23272,GCF_000952935.1
334,Chlamydia,muridarum,0.14727272727272728,1412,GCF_000174975.1,1428,GCF_000175535.1
335,Chlamydia,pecorum,0.24386252045826515,9473,GCF_000470805.1,45919,GCF_001625535.1
336,Chlamydia,pneumoniae,0.18169642857142856,168,GCF_000011165.1,480,GCF_000024145.1
337,Chlamydia,psittaci,0.9902723735408561,4669,GCF_000298535.2,8284,GCF_000417715.1
338,Chlamydia,trachomatis,0.6194909993792675,36486,GCF_001317765.1,40177,GCF_001398355.1
339,Chlorogloeopsis,fritschii,0.020869717079986028,5217,GCF_000317265.1,5218,GCF_000317285.1
340,Chromobacterium,haemolyticum,0.6205075209553336,18797,GCF_000711885.1,19970,GCF_000758475.1
341,Chromobacterium,subtsugae,0.420158550396376,24547,GCF_001020525.1,24548,GCF_001020585.1
342,Chromobacterium,vaccinii,0.3778561354019746,23693,GCF_000971335.1,23694,GCF_000971355.1
343,Chromobacterium,violaceum,0.42915038355767837,21832,GCF_000812485.1,23246,GCF_000952105.1
344,Chryseobacterium,oranimense,0.0,14806,GCF_000612925.1,22024,GCF_000820645.1
345,Citrobacter,amalonaticus,0.3076642601910596,19291,GCF_000731055.1,43988,GCF_001558935.1
346,Citrobacter,braakii,0.40073370738023306,20870,GCF_000786265.1,25970,GCF_001065805.1
347,Citrobacter,freundii,0.5007954962672867,20809,GCF_000783755.1,22748,GCF_000937505.2
348,Citrobacter,koseri,0.316701937164252,25673,GCF_001057775.1,43859,GCF_001552875.1
349,Citrobacter,rodentium,0.013566653558788833,19999,GCF_000759815.1,22487,GCF_000835925.1
350,Clostridium,aceticum,0.0011304909560723513,23185,GCF_000949285.1,25231,GCF_001042715.1
351,Clostridium,acetobutylicum,0.44359197907585,1822,GCF_000191905.1,20860,GCF_000785855.1
352,Clostridium,autoethanogenum,0.019832605531295486,8437,GCF_000427255.1,9896,GCF_000484505.1
353,Clostridium,baratii,0.6317928968763372,20970,GCF_000789395.1,36129,GCF_001298225.1
354,Clostridium,beijerinckii,0.5779311724689876,20222,GCF_000767745.1,22402,GCF_000833105.2
355,Clostridium,botulinum,0.9943525085369057,19289,GCF_000730965.1,44444,GCF_001573805.1
356,Clostridium,butyricum,0.535904255319149,8399,GCF_000424245.1,40532,GCF_001411625.1
357,Clostridium,carboxidivorans,0.23409269442262373,1097,GCF_000163855.1,25181,GCF_001038625.1
358,Clostridium,haemolyticum,0.1505703422053232,19026,GCF_000724225.2,20231,GCF_000768575.1
359,Clostridium,kluyveri,0.003919950484835981,142,GCF_000010265.1,306,GCF_000016505.1
360,Clostridium,novyi,0.6165113182423435,19033,GCF_000724445.2,20232,GCF_000768585.1
361,Clostridium,pasteurianum,0.0010379904504878555,5709,GCF_000330945.1,19025,GCF_000724205.2
362,Clostridium,perfringens,0.656289592760181,43740,GCF_001546355.1,44607,GCF_001579785.1
363,Clostridium,saccharoperbutylacetonicum,0.005607221006564552,5765,GCF_000334435.1,5943,GCF_000340885.1
364,Clostridium,sporogenes,0.8431073876618431,41174,GCF_001444575.1,41180,GCF_001444695.1
365,Clostridium,tetani,0.5794096121005123,21569,GCF_000805775.1,24024,GCF_000987095.1
366,Clostridium,tyrobutyricum,0.41024108388125125,21918,GCF_000816585.1,42426,GCF_001491075.1
367,Clostridium,ventriculi,0.0016863406408094434,42406,GCF_001485165.1,42407,GCF_001485185.1
368,Collimonas,arenae,0.007461879528495728,44766,GCF_001584165.1,44768,GCF_001584205.1
369,Collimonas,pratensis,0.4491800681296047,44767,GCF_001584185.1,44769,GCF_001584225.1
370,Comamonas,aquatica,0.5509385298753403,19464,GCF_000739875.1,22668,GCF_000935165.1
371,Comamonas,testosteroni,0.8039378352967204,19454,GCF_000739375.1,21854,GCF_000813605.1
372,Corynebacterium,accolens,0.4511998010692528,707,GCF_000146485.1,956,GCF_000159115.1
373,Corynebacterium,argentoratense,0.23768054375531011,13812,GCF_000590555.1,23713,GCF_000971865.1
374,Corynebacterium,aurimucosum,0.9925560460486453,1405,GCF_000174695.1,25530,GCF_001053555.1
375,Corynebacterium,callunae,0.001240474924685451,6059,GCF_000344785.1,8361,GCF_000420585.1
376,Corynebacterium,camporealensis,0.0031136481577581734,20199,GCF_000766885.1,23825,GCF_000980815.1
377,Corynebacterium,casei,0.24521683673469388,2610,GCF_000234765.1,12093,GCF_000550785.1
378,Corynebacterium,diphtheriae,0.47897196261682246,8949,GCF_000455785.1,23294,GCF_000953975.1
379,Corynebacterium,doosanense,0.003101843873858349,7111,GCF_000372245.1,20203,GCF_000767055.1
380,Corynebacterium,efficiens,0.005369782767878936,171,GCF_000011305.1,1007,GCF_000160795.1
381,Corynebacterium,glucuronolyticum,0.2497406254631688,873,GCF_000156595.1,977,GCF_000159595.1
382,Corynebacterium,glutamicum,0.497789566755084,2307,GCF_000224315.1,7254,GCF_000382905.1
383,Corynebacterium,halotolerans,0.0021148036253776435,5947,GCF_000341345.1,18066,GCF_000688435.1
384,Corynebacterium,humireducens,0.0010238907849829352,21996,GCF_000819445.1,44346,GCF_001571025.1
385,Corynebacterium,jeikeium,0.9944140197152246,19433,GCF_000738265.1,26355,GCF_001076435.1
386,Corynebacterium,kroppenstedtii,0.023454786841717066,23711,GCF_000971845.1,43860,GCF_001552955.1
387,Corynebacterium,matruchotii,0.427486003732338,944,GCF_000158635.1,1421,GCF_000175375.1
388,Corynebacterium,minutissimum,0.0011869436201780415,21565,GCF_000805675.1,43850,GCF_001552395.1
389,Corynebacterium,pilosum,0.006660137120470127,7135,GCF_000373805.1,25263,GCF_001044155.1
390,Corynebacterium,pseudodiphtheriticum,0.3342950567416811,9375,GCF_000466825.2,18065,GCF_000688415.1
391,Corynebacterium,pseudotuberculosis,0.3023541453428864,3340,GCF_000258385.1,3362,GCF_000259155.3
392,Corynebacterium,simulans,0.4532075471698113,44849,GCF_001586215.1,44850,GCF_001586235.1
393,Corynebacterium,ulcerans,0.6029301838839887,2115,GCF_000215665.1,23658,GCF_000968945.1
394,Corynebacterium,urealyticum,0.2695230054875475,571,GCF_000069945.1,5850,GCF_000338095.1
395,Corynebacterium,vitaeruminis,0.2429125634139063,12094,GCF_000550805.1,18486,GCF_000702185.1
396,Corynebacterium,xerosis,0.041289882272649715,24040,GCF_000988235.1,43851,GCF_001552415.1
397,Coxiella,burnetii,0.19435654008438819,1234,GCF_000169495.2,44413,GCF_001572765.1
398,Crocosphaera,watsonii,0.3694047733154414,25211,GCF_001039615.1,25442,GCF_001050835.1
399,Cronobacter,condimenti,0.004098791382028376,5274,GCF_000319285.1,35382,GCF_001277255.1
400,Cronobacter,dublinensis,0.5188687001562114,5276,GCF_000319345.1,5277,GCF_000319495.1
401,Cronobacter,malonaticus,0.4096451319381256,5279,GCF_000319535.1,19548,GCF_000742335.1
402,Cronobacter,muytjensii,0.0014008872285780996,8022,GCF_000409285.1,35379,GCF_001277195.1
403,Cronobacter,sakazakii,0.4942567855015741,5281,GCF_000319595.1,5282,GCF_000319615.1
404,Cronobacter,turicensis,0.9710217650379477,5278,GCF_000319515.1,9914,GCF_000486025.1
405,Cronobacter,universalis,0.03472714386959603,5275,GCF_000319325.1,8024,GCF_000409325.1
406,Cupriavidus,metallidurans,0.6069953602202621,18729,GCF_000709045.1,18730,GCF_000709065.1
407,Cupriavidus,necator,0.3407324417057629,105,GCF_000009285.1,42307,GCF_001481455.1
408,Cupriavidus,taiwanensis,0.3008765078538575,569,GCF_000069785.1,9522,GCF_000472465.1
409,Curtobacterium,flaccumfaciens,0.2739150723285114,6212,GCF_000349565.1,22458,GCF_000834535.1
410,Curtobacterium,oceanosedimentum,0.36927122464312545,42050,GCF_001475745.1,42064,GCF_001476135.1
411,Dehalococcoides,mccartyi,0.9279614626669587,505,GCF_000025585.1,41698,GCF_001459095.1
412,Deinococcus,radiodurans,0.011857707509881422,82,GCF_000008565.1,18023,GCF_000685985.1
413,Deinococcus,wulumuqiensis,0.034735260983852795,6198,GCF_000348665.1,9695,GCF_000478785.1
414,Dermabacter,hominis,0.6480367321089296,20466,GCF_000775415.1,44344,GCF_001570785.1
415,Desulfitobacterium,hafniense,0.5962594023175443,132,GCF_000010045.1,7205,GCF_000378805.1
416,Desulfotomaculum,nigrificans,0.31610886355277673,1779,GCF_000189755.2,2085,GCF_000214435.1
417,Desulfovibrio,africanus,0.6428963677728093,6043,GCF_000344315.1,8384,GCF_000422545.1
418,Desulfovibrio,alaskensis,0.2087912087912088,217,GCF_000012665.1,9848,GCF_000482745.1
419,Desulfovibrio,gigas,0.01249102656137832,8466,GCF_000429285.1,9411,GCF_000468495.1
420,Desulfovibrio,hydrothermalis,0.01250173635227115,5711,GCF_000331025.1,8416,GCF_000425245.1
421,Desulfovibrio,vulgaris,0.27197375237437404,282,GCF_000015485.1,1925,GCF_000195755.1
422,Dialister,micraerophilus,0.49891696750902526,1632,GCF_000183445.1,1908,GCF_000194985.1
423,Dichelobacter,nodosus,0.11776608660461352,277,GCF_000015345.1,34960,GCF_001263335.1
424,Dickeya,chrysanthemi,0.6069950607395541,7884,GCF_000406105.1,7889,GCF_000406245.1
425,Dickeya,dadantii,0.5778799916370478,7885,GCF_000406145.1,7887,GCF_000406185.1
426,Dickeya,dianthicola,0.21432924175154522,6872,GCF_000365365.1,6873,GCF_000365405.2
427,Dickeya,solani,0.29753632343651293,40287,GCF_001401705.1,42444,GCF_001506125.1
428,Dickeya,zeae,0.733677463270747,494,GCF_000025065.1,7875,GCF_000404105.1
429,Dietzia,cinnamea,0.6496216743958995,1687,GCF_000186325.1,44347,GCF_001571065.1
430,Dolichospermum,circinale,0.5598431696244325,8432,GCF_000426905.1,8433,GCF_000426925.1
431,Dorea,formicigenerans,0.6018952618453866,1232,GCF_000169235.1,2331,GCF_000225745.1
432,Dyella,japonica,0.006254886630179828,4492,GCF_000292265.1,19051,GCF_000725385.1
433,Dysgonomonas,mossii,0.002921307285010042,2072,GCF_000213575.1,7177,GCF_000376405.1
434,Edwardsiella,anguillarum,0.05620978511594027,21515,GCF_000804575.1,21517,GCF_000804615.1
435,Edwardsiella,ictaluri,0.163662675963689,459,GCF_000022885.2,35377,GCF_001277155.1
436,Edwardsiella,tarda,0.48066298342541436,3515,GCF_000264805.1,3516,GCF_000264825.1
437,Eggerthella,lenta,0.2696166709544636,482,GCF_000024265.1,20119,GCF_000763035.1
438,Eggerthia,catenaformis,0.3016120644825793,5930,GCF_000340375.1,8385,GCF_000422605.1
439,Ehrlichia,chaffeensis,0.21262458471760798,1182,GCF_000167655.1,15603,GCF_000632905.1
440,Ehrlichia,muris,0.5810055865921788,10592,GCF_000508225.1,23547,GCF_000964755.1
441,Ehrlichia,ruminantium,0.37983870967741934,555,GCF_000050405.1,556,GCF_000050425.1
442,Eikenella,corrodens,0.6616403089371092,943,GCF_000158615.1,10476,GCF_000504685.1
443,Elizabethkingia,anophelis,0.5099858468312628,10306,GCF_000496055.1,25483,GCF_001051975.1
444,Elizabethkingia,meningoseptica,0.0187207488299532,7843,GCF_000401415.1,42784,GCF_001521755.1
445,Endozoicomonas,elysicola,0.0021971361466777786,7140,GCF_000373945.1,18774,GCF_000710775.1
446,Endozoicomonas,montiporae,0.03338110090196409,18989,GCF_000722565.1,44742,GCF_001583435.1
447,Enhydrobacter,aerosaccus,0.6025866619743093,1439,GCF_000175915.1,31644,GCF_001188545.1
448,Enterobacter,asburiae,0.792221693625119,42896,GCF_001525135.1,45960,GCF_001631695.1
449,Enterobacter,cancerogenus,0.3044114955152846,864,GCF_000155995.1,42044,GCF_001475565.1
450,Enterobacter,cloacae,0.6778105539167486,23367,GCF_000958805.1,36453,GCF_001316805.1
451,Enterobacter,hormaechei,0.6739433348815607,41919,GCF_001472795.1,42907,GCF_001525445.1
452,Enterobacter,ludwigii,0.016917904782561544,50657,GCF_900068835.1,50658,GCF_900068855.1
453,Enterobacter,xiangfangensis,0.011434735706580367,42047,GCF_001475645.1,42051,GCF_001475835.1
454,Enterococcus,asini,0.0008366450533361222,7615,GCF_000393955.1,7938,GCF_000407365.1
455,Enterococcus,avium,0.0022381905995994818,7918,GCF_000406965.1,7932,GCF_000407245.1
456,Enterococcus,caccae,0.0008064516129032258,7620,GCF_000394055.1,7927,GCF_000407145.1
457,Enterococcus,casseliflavus,0.6826167564227068,903,GCF_000157355.2,1806,GCF_000191365.1
458,Enterococcus,cecorum,0.5283641160949868,24574,GCF_001021795.1,24575,GCF_001021815.1
459,Enterococcus,columbae,0.003526093088857546,7123,GCF_000373065.1,7931,GCF_000407225.1
460,Enterococcus,dispar,0.0016019223067681217,7917,GCF_000406945.1,7949,GCF_000407585.1
461,Enterococcus,durans,0.2378279993932959,6230,GCF_000350465.1,7933,GCF_000407265.1
462,Enterococcus,faecalis,0.469765528589058,9702,GCF_000479065.1,16215,GCF_000648075.1
463,Enterococcus,faecium,0.7753988245172124,4553,GCF_000294345.2,44077,GCF_001562985.1
464,Enterococcus,gallinarum,0.5404202463513094,22297,GCF_000829545.2,43678,GCF_001544275.1
465,Enterococcus,gilvus,0.0016060571297464724,7648,GCF_000394615.1,7947,GCF_000407545.1
466,Enterococcus,haemoperoxidus,0.0036882617062219372,7617,GCF_000393995.1,7928,GCF_000407165.1
467,Enterococcus,hirae,0.3299648506151142,7941,GCF_000407425.1,35454,GCF_001280825.1
468,Enterococcus,malodoratus,0.0,7611,GCF_000393875.1,7929,GCF_000407185.1
469,Enterococcus,moraviensis,0.0013959981386691485,7618,GCF_000394015.1,7942,GCF_000407445.1
470,Enterococcus,mundtii,0.6422186322024771,2575,GCF_000233395.1,14788,GCF_000611895.1
471,Enterococcus,pallens,0.0018744142455482662,7616,GCF_000393975.1,7944,GCF_000407485.1
472,Enterococcus,phoeniculicola,0.0005545542769998614,7619,GCF_000394035.1,7945,GCF_000407505.1
473,Enterococcus,raffinosus,0.27898550724637683,7946,GCF_000407525.1,43673,GCF_001544115.1
474,Enterococcus,saccharolyticus,0.00017667844522968197,7920,GCF_000407005.1,7934,GCF_000407285.1
475,Enterococcus,sulfureus,0.0,7921,GCF_000407025.1,7950,GCF_000407605.1
476,Enterococcus,villorum,0.0015579020252726328,7614,GCF_000393935.1,7930,GCF_000407205.1
477,Enterovibrio,calviensis,0.3334552325227037,4289,GCF_000286875.1,4290,GCF_000286895.1
478,Enterovibrio,norvegicus,0.25146278405225203,3509,GCF_000264435.1,4287,GCF_000286835.1
479,Eremococcus,coleocola,0.30121200079475463,1624,GCF_000183205.1,8459,GCF_000428865.1
480,Erwinia,amylovora,0.3876567020250723,543,GCF_000027205.1,6965,GCF_000367665.1
481,Erwinia,billingiae,0.5332023575638507,1947,GCF_000196615.1,35178,GCF_001269445.1
482,Erwinia,iniecta,0.008191277396502104,35099,GCF_001267535.1,35100,GCF_001267545.1
483,Erwinia,pyrifoliae,0.0031617554066017454,535,GCF_000026985.1,545,GCF_000027265.1
484,Erwinia,tracheiphila,0.022219650503413957,7876,GCF_000404125.1,23796,GCF_000975275.1
485,Erysipelatoclostridium,[Clostridium] innocuum,0.512749827705031,7092,GCF_000371425.1,20145,GCF_000763955.1
486,Erysipelothrix,rhusiopathiae,0.25228036485837735,1008,GCF_000160815.2,45222,GCF_001602155.1
487,Erythrobacter,marinus,0.0007528703180877094,24323,GCF_001013305.1,24569,GCF_001021555.1
488,Escherichia,albertii,0.46164383561643835,19998,GCF_000759775.1,42565,GCF_001514785.1
489,Escherichia,coli,0.7180160466812545,20850,GCF_000785355.1,35661,GCF_001286065.1
490,Escherichia,fergusonii,0.37531172069825436,1816,GCF_000191665.1,23656,GCF_000968895.2
491,Exiguobacterium,antarcticum,0.3253779514183795,4683,GCF_000299435.1,18020,GCF_000685865.1
492,Exiguobacterium,pavilionensis,0.4386988549339946,8254,GCF_000416965.1,42336,GCF_001482445.1
493,Exiguobacterium,undae,0.43398172708517535,15079,GCF_000620805.1,15080,GCF_000620825.1
494,Facklamia,hominis,0.4528978667170096,4726,GCF_000301035.1,8129,GCF_000413455.1
495,Faecalitalea,cylindroides,0.5708502024291497,2024,GCF_000210615.1,9427,GCF_000469305.1
496,Ferrimicrobium,acidiphilum,0.022574840503844267,19607,GCF_000745905.1,23184,GCF_000949255.1
497,Fibrobacter,succinogenes,0.0013723068478111707,488,GCF_000024665.1,708,GCF_000146505.1
498,Filomicrobium,marinum,0.0,23841,GCF_000981545.1,23842,GCF_000981565.1
499,Finegoldia,magna,0.5955997904662127,138,GCF_000010185.1,1560,GCF_000179695.1
500,Flavobacterium,cauense,0.0010121457489878543,10350,GCF_000498475.1,20259,GCF_000769815.1
501,Flavobacterium,enshiense,0.003790271636133923,10351,GCF_000498495.1,20262,GCF_000769895.1
502,Flavobacterium,psychrophilum,0.2845088706187798,19851,GCF_000754405.1,42519,GCF_001510875.1
503,Flavobacterium,rivuli,0.001152516327314637,7197,GCF_000378485.1,20260,GCF_000769825.1
504,Flavobacterium,subsaxonicum,0.007444168734491315,8386,GCF_000422725.1,20263,GCF_000769935.1
505,Flavobacterium,suncheonense,0.0076882290562036056,8470,GCF_000430025.1,20261,GCF_000769835.1
506,Flavonifractor,plautii,0.477055743763474,2708,GCF_000239295.1,20025,GCF_000760655.1
507,Fluoribacter,dumoffii,0.22060766182298547,2642,GCF_000236145.1,2643,GCF_000236165.1
508,Francisella,noatunensis,0.00935278713056491,3441,GCF_000262205.1,31689,GCF_001190905.1
509,Francisella,philomiragia,0.5035405192761605,22411,GCF_000833315.1,22417,GCF_000833455.1
510,Francisella,tularensis,0.459722632044851,19538,GCF_000742085.1,44489,GCF_001574855.1
511,Franconibacter,helveticus,0.3469546604397743,9910,GCF_000485945.1,25878,GCF_001063355.1
512,Franconibacter,pulveris,0.5650283088536966,9306,GCF_000463135.2,15087,GCF_000621185.1
513,Fructobacillus,fructosus,0.011296395911780527,25343,GCF_001047095.1,41061,GCF_001438695.1
514,Fulvimarina,pelagi,0.0016273393002441008,813,GCF_000153705.1,41782,GCF_001463845.1
515,Fusobacterium,gonidiaformans,0.41494768310911806,934,GCF_000158235.1,952,GCF_000158835.2
516,Fusobacterium,hwasookii,0.49644128113879005,8955,GCF_000455925.1,41605,GCF_001455145.1
517,Fusobacterium,necrophorum,0.5989804587935429,18180,GCF_000691725.1,45139,GCF_001597445.1
518,Fusobacterium,nucleatum,0.8914858096828047,809,GCF_000153625.3,2213,GCF_000218655.1
519,Fusobacterium,ulcerans,0.3848568790397045,938,GCF_000158315.2,2805,GCF_000242995.2
520,Gallibacterium,anatis,0.6035242290748899,7219,GCF_000379785.1,20358,GCF_000772445.1
521,Gardnerella,vaginalis,0.9987193169690501,8166,GCF_000414425.1,9362,GCF_000466365.1
522,Gemella,sanguinis,0.5940907492085825,1974,GCF_000204335.2,18480,GCF_000701685.1
523,Geobacillus,caldoxylosilyticus,0.35293569431500466,5135,GCF_000313345.1,44885,GCF_001587505.1
524,Geobacillus,kaustophilus,0.2295097482491009,23145,GCF_000948165.1,23148,GCF_000948285.1
525,Geobacillus,stearothermophilus,0.6124794745484401,19585,GCF_000743495.1,44884,GCF_001587495.1
526,Geobacillus,thermodenitrificans,0.18425105891413168,288,GCF_000015745.1,10315,GCF_000496575.1
527,Geobacillus,thermoglucosidasius,0.2764452644526445,1521,GCF_000178395.2,3347,GCF_000258725.1
528,Geobacillus,thermoleovorans,0.34742380261248185,9549,GCF_000474195.1,45498,GCF_001610955.1
529,Geobacillus,toebii,0.5117787981633061,44883,GCF_001587455.1,45173,GCF_001598935.1
530,Geobacter,metallireducens,0.032519397535371974,226,GCF_000012925.1,2811,GCF_000243475.1
531,Geobacter,sulfurreducens,0.3439000090571506,58,GCF_000007985.2,23438,GCF_000961035.1
532,Glaciecola,pallidula,0.002503390007301554,5174,GCF_000315035.1,8460,GCF_000428905.1
533,Gluconacetobacter,diazotrophicus,0.2581247665296974,422,GCF_000021325.1,564,GCF_000067045.1
534,Gluconobacter,albidus,0.49757748211951086,44624,GCF_001580845.1,44626,GCF_001580925.1
535,Gluconobacter,oxydans,0.6428512566955089,13587,GCF_000583855.1,44622,GCF_001580705.1
536,Gluconobacter,thailandicus,0.04420122079562198,6039,GCF_000344115.1,44627,GCF_001580935.1
537,Glycomyces,tenuis,0.006070640176600441,8446,GCF_000427885.1,18923,GCF_000715885.1
538,Gordonia,alkanivorans,0.3958208955223881,2329,GCF_000225505.1,11125,GCF_000529675.1
539,Gordonia,amicalis,0.4430137896660575,5744,GCF_000332995.1,9512,GCF_000472025.1
540,Gordonia,hirsuta,0.0,5745,GCF_000333015.1,8362,GCF_000420685.1
541,Gordonia,polyisoprenivorans,0.43722943722943725,2766,GCF_000241325.1,2961,GCF_000247715.1
542,Gordonia,sihwensis,0.3519394512771996,5746,GCF_000333035.1,23424,GCF_000960465.1
543,Gordonia,terrae,0.001067339413933631,2968,GCF_000248035.1,18934,GCF_000716975.1
544,Granulibacter,bethesdensis,0.4222332383194944,255,GCF_000014285.1,13282,GCF_000576085.1
545,Granulicoccus,phenolivorans,0.016814660872850936,8387,GCF_000423085.1,43849,GCF_001552335.1
546,Grimontia,hollisae,0.004895675486653456,1461,GCF_000176515.1,43972,GCF_001558255.1
547,Haemophilus,[Haemophilus] parasuis,0.7350063802637176,1332,GCF_000172375.2,8702,GCF_000444685.1
548,Haemophilus,haemolyticus,0.6969836518535575,2276,GCF_000222045.1,24118,GCF_001008205.1
549,Haemophilus,influenzae,0.7128953771289538,31524,GCF_001184595.1,46351,GCF_900020195.1
550,Haemophilus,parahaemolyticus,0.6636543349336346,3443,GCF_000262265.1,22238,GCF_000826045.1
551,Haemophilus,parainfluenzae,0.7898982813048053,25531,GCF_001053575.1,25721,GCF_001059125.1
552,Haemophilus,sputorum,0.23679060665362034,2699,GCF_000238795.1,4305,GCF_000287615.1
553,Hafnia,alvei,0.9403516459440214,23828,GCF_000980975.1,43995,GCF_001559255.1
554,Halomonas,anticariensis,0.00271047227926078,8034,GCF_000409775.1,8454,GCF_000428505.1
555,Halomonas,huangheensis,0.0004821213338690237,9471,GCF_000470745.1,40866,GCF_001431725.1
556,Hamiltonella,defensa,0.5929971088981689,433,GCF_000021705.1,3338,GCF_000258345.2
557,Helicobacter,ailurogastricus,0.3535749265426053,35521,GCF_001282945.1,35529,GCF_001283105.1
558,Helicobacter,bilis,0.6920719248058848,941,GCF_000158435.2,20188,GCF_000765925.1
559,Helicobacter,bizzozeronii,0.5182170542635659,2659,GCF_000237285.1,3470,GCF_000263275.1
