id,entity:miniseq_id,biosample_accession,submission_id,amrfinderplus_amr_genes,ts_mlst_predicted_st,gambit_predicted_taxon,city,received_date,Provider,collection_date,dataset,est_coverage,genome_length,kleborate_bla_resistance_genes,kleborate_key_resistance_genes,kleborate_mlst_sequence_type,r1_mean_q,read1,run_id,seq_platform,serotypefinder_serotype,collected_by,contigs_fastg,contigs_lastgraph,design_description,filetype,geo_loc_name,host,host_disease,instrument_model,isolate,isolation_source,isolation_type,lat_lon,library_ID,library_layout,library_selection,library_source,library_strategy,organism,platform,title,jared_notes
21-00375467,21-00375467,SAMN30861770,NV_NSPHL_0000355,"blaSHV-76,emrD,fosA,kdeA,blaKPC-2,tet(A),fosA7,blaCTX-M-15,blaTEM-1,aph(6)-Id,aph(3'')-Ib,qnrB1,aac(3)-IIe,dfrA14,aac(6')-Ib-cr5,blaOXA-1,catB3",ST405,Klebsiella pneumoniae,not collected,2021-07-26,Sunrise,2021-07-07,375467-NV-MN01149-210927,58.46,5591170,OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST405,35.87,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/3c9d8c73-b4df-478e-9ff1-2c60a3538f0a/call-fetch_bs/375467_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000355,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00375469,21-00375469,SAMN30861769,NV_NSPHL_0000356,"fosA,emrD,oqxB,oqxA,blaSHV-28,kdeA,aph(3')-VI,qnrS1,tet(D),ble,blaNDM-1,blaCTX-M-15,aadA1,blaOXA,catB3,blaOXA-1,aac(6')-Ib-cr5,catA1,aph(3')-Ia",ST15,Klebsiella pneumoniae,not collected,2021-07-26,Sunrise,2021-07-15,375469-NV-MN01149-210927,62.28,5611469,OXA-1;CTX-M-15;NDM-1,qnrS1;OXA-1;CTX-M-15;NDM-1,ST15,35.79,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/a3dc1e26-16fa-4003-be85-b1a6ca9ce09f/call-fetch_bs/375469_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000356,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00375470,21-00375470,SAMN30861768,NV_NSPHL_0000357,"fosA,emrD,oqxB,oqxA,kdeA,blaSHV-28,qnrS1,aph(3')-VI,aac(6')-Ib,aadA1,blaOXA,blaTEM,tet(D),ble,blaNDM-1,blaCTX-M-15,catB3,blaOXA-1,catA1,aph(3')-Ia",ST15,Klebsiella pneumoniae,not collected,2021-07-26,Sunrise,2021-07-15,375470-NV-MN01149-210927,40.51,5608271,OXA-1;CTX-M-15;NDM-1,qnrS1;OXA-1;CTX-M-15;NDM-1,ST15,35.86,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/5b7e0a0e-4786-4b4e-8cc9-6cf37dcf1709/call-fetch_bs/375470_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000357,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00375473,21-00375473,SAMN30861767,NV_NSPHL_0000358,"blaOXY-2-7,oqxB,oqxA,emrD,blaTEM,blaKPC-2,dfrA1,qnrA1,sul1",No ST predicted,Klebsiella oxytoca,not collected,2021-07-26,Horizon Specialty,2021-06-29,375473-NV-MN01149-211007,80.78,6029288,OXY-2-7^;KPC-2,qnrA1^;OXY-2-7^;KPC-2,,35.24,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/90403d4f-f29c-4081-83c7-6318f335f882/basespace_fetch/1d5b5864-d07d-4ec3-8d04-12dae43aeb75/call-fetch_bs/375473_R1.fastq.gz,NV-MN01149-211007,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000358,paired,RANDOM,GENOMIC,WGS,Klebsiella oxytoca,ILLUMINA,WGS of HAIs,
21-00375476,21-00375476,SAMN30861766,NV_NSPHL_0000359,"blaSHV-28,emrD,kdeA,fosA,blaKPC-2,blaTEM-1,qnrB1,blaCTX-M-15,aac(3)-IIe,blaOXA-1,catB3,blaOXA,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-07-26,Pam Specialty,2021-06-29,CL2021-00375476-NV-MN01149-210804,68.91,5543065,OXA-1;TEM-122*?;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST14,36.13,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d6815cf2-6f80-436c-8ae5-5588d44dea3d/basespace_fetch/1ef06168-b0bb-495f-9f43-f274a8817188/call-fetch_bs/CL2021-00375476_R1.fastq.gz,NV-MN01149-210804,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000359,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00375477,21-00375477,SAMN30861765,NV_NSPHL_0000360,"emrD,oqxB,oqxA,blaSHV-11,fosA,kdeA,blaKPC-3,sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1,mph(A),blaOXA-9,aadA1,dfrA14,catA1,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2021-07-26,Horizon Specialty,2021-07-01,CL2021-00375477-NV-MN01149-211001,55.25,5627220,OXA-9.v1;TEM-1D.v1^;KPC-3,OXA-9.v1;TEM-1D.v1^;KPC-3,ST258,36.02,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d6815cf2-6f80-436c-8ae5-5588d44dea3d/basespace_fetch/7a837392-dce5-46d5-a720-a7386bd2b31e/call-fetch_bs/CL2021-00375477_R1.fastq.gz,NV-MN01149-211001,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000360,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00375478,21-00375478,SAMN30861764,NV_NSPHL_0000361,"blaSHV-28,kdeA,emrD,fosA,blaKPC-2,qnrB1,blaCTX-M-15,catB3,blaOXA-1,blaOXA,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-07-26,Pam Specialty,2021-07-02,375478-NV-MN01149-210927,74.74,5395698,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,36.11,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d6815cf2-6f80-436c-8ae5-5588d44dea3d/basespace_fetch/182a4208-9d26-4554-96c9-9223dc4c9132/call-fetch_bs/CL2021-00375478_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000361,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00376116,21-00376116,SAMN30861763,NV_NSPHL_0000362,"blaOXA-95,amvA,blaADC-222,abaF,tet(B),aph(6)-Id,aph(3'')-Ib,ant(3'')-IIa,ant(2'')-Ia,aadA2,sul1,blaOXA-23,aph(3')-Ia",ST499,Acinetobacter baumannii,not collected,2021-07-27,Labcorp,2021-07-17,CL2021-00376116-NV-MN01149-210804,80,3922631,ADC-11*;OXA-23;OXA-95,,,36.02,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d6815cf2-6f80-436c-8ae5-5588d44dea3d/basespace_fetch/462ad7b5-4504-4927-bf30-7bde4319dfd8/call-fetch_bs/CL2021-00376116_R1.fastq.gz,NV-MN01149-210804,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000362,paired,RANDOM,GENOMIC,WGS,Acinetobacter baumannii,ILLUMINA,WGS of HAIs,
21-00376467,21-00376467,SAMN30861762,NV_NSPHL_0000363,"blaSHV-76,emrD,fosA,blaKPC-2,kdeA,fosA7,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaCTX-M-15,tet(A),dfrA14,qnrB1,aac(3)-IIe,catB3,blaOXA-1,aac(6')-Ib-cr5",ST405,Klebsiella pneumoniae,not collected,2021-07-28,Valley Health,2021-07-09,CL2021-00376467-NV-MN01149-210804,70.69,5594143,OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST405,36.05,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d6815cf2-6f80-436c-8ae5-5588d44dea3d/basespace_fetch/b62779f3-de6e-4d8b-85d8-d085470a385b/call-fetch_bs/CL2021-00376467_R1.fastq.gz,NV-MN01149-210804,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000363,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00382472,21-00382472,SAMN30861761,NV_NSPHL_0000364,"blaSHV-28,kdeA,emrD,fosA,blaKPC-2,blaTEM-1,qnrB1,blaCTX-M-15,aac(6')-Ib,blaOXA",ST14,Klebsiella pneumoniae,not collected,2021-08-09,Pam Specialty,2021-07-02,382472-NV-MN01149-210927,51.37,5366705,TEM-122*?;CTX-M-15;KPC-2,qnrB1.v2^;TEM-1D.v1^;CTX-M-15;KPC-2,ST14,35.9,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/1ae0ba61-9e7b-4a37-8b79-ad28d3d42978/call-fetch_bs/382472_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000364,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00382475,21-00382475,SAMN30861760,NV_NSPHL_0000365,"oqxA,oqxB,blaACT-37,blaKPC-3,blaTEM-1,dfrA19,sul1,qnrB2,sul1,aadA2,blaSHV-12,aph(3')-Ia,aph(6)-Id,aph(3'')-Ib,mcr-9.1,catA2",ST428,Enterobacter cloacae,not collected,2021-08-09,Sage Creek Post Acute,2021-07-12,382475-NV-MN01149-210927,46.33,4958068,ACT-37;TEM-1D.v1^;SHV-12;KPC-3,,,35.71,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/a45b4c21-47db-4ed5-9046-801b2236921a/call-fetch_bs/382475_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000365,paired,RANDOM,GENOMIC,WGS,Enterobacter cloacae,ILLUMINA,WGS of HAIs,
21-00382476,21-00382476,SAMN30861759,NV_NSPHL_0000366,"blaSHV-33,oqxA3,oqxB19,emrD,kdeA,fosA,blaNDM-5,ble,sul1,aadA2,dfrA12,rmtB1,blaTEM-1,mph(A),qnrB1,blaCTX-M-15,erm(B)",ST35,Klebsiella pneumoniae,not collected,2021-08-09,SNHD Refugee,2021-07-16,382476-NV-MN01149-210927,60.04,5600684,TEM-1D.v1^;CTX-M-15;NDM-5,qnrB1.v2^;TEM-1D.v1^;CTX-M-15;NDM-5,ST35,35.85,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/20b1023a-286d-475e-8211-be649dd232b7/basespace_fetch/f71a5d3a-b649-4cf3-bc75-a238c8dd3b3a/call-fetch_bs/382476_R1.fastq.gz,NV-MN01149-210927,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000366,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00382477,21-00382477,SAMN30861758,NV_NSPHL_0000367,"kdeA,fosA,blaSHV-28,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib,blaOXA,blaTEM",ST14,Klebsiella pneumoniae,not collected,2021-08-09,HMRH,2021-07-07,CL2021-00382477-NV-MN01149-211001,39.68,5389216,OXA-1*;CTX-M-15;KPC-2*,qnrB1.v2^;CTX-M-15;KPC-2,ST14,35.74,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/7099c121-09c2-4997-b686-9b41310ef983/call-fetch_bs/382477_R1.fastq.gz,NV-MN01149-211001,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000367,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00385477,21-00385477,SAMN30861757,NV_NSPHL_0000368,"fosA,emrD,blaSHV-11,kdeA,oqxB,oqxA,catA1,blaKPC-3,aac(6')-Ib,blaOXA-9,aadA1,aac(6')-Ib',aph(6)-Id,aph(3'')-Ib,sul2,dfrA14",ST258,Klebsiella pneumoniae,not collected,2021-08-11,Pam Specialty,2021-07-13,CL2021-00385477-NV-MN01149-211001,77.74,5568511,OXA-9.v1;KPC-3,OXA-9.v1;KPC-3,ST258,35.6,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/d222f3ac-90e1-4d45-964a-3d89695569b7/call-fetch_bs/385477_R1.fastq.gz,NV-MN01149-211001,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000368,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00385478,21-00385478,SAMN30861756,NV_NSPHL_0000369,"oqxB,oqxA,fosA,emrD,kdeA,blaKPC-3,dfrA14,sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaSHV-11,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2021-08-11,Valley Oaks,2021-07-13,CL2021-00385478-NV-MN01149-211004,38.34,5380999,TEM-1D.v1^;KPC-3,TEM-1D.v1^;KPC-3,ST258,36.41,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/39555f7f-5d2a-4223-8b63-bd944ce48dfe/call-fetch_bs/385478_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000369,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00385479,21-00385479,SAMN30861755,NV_NSPHL_0000370,"oqxA,oqxB25,blaSHV-1,kdeA,fosA,emrD,ble,blaNDM-1,aph(3')-VI,qnrS1,blaCTX-M-15,aac(6')-Ib,aadA1,blaOXA,blaTEM",ST13,Klebsiella pneumoniae,not collected,2021-08-11,UMC,2021-07-19,CL2021-00385479-NV-MN01149-211004,44.87,5483429,CTX-M-15;NDM-1,qnrS1;CTX-M-15;NDM-1,ST13,36.4,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/2b1aa6e9-a751-4d32-bcca-3645f8828dc1/call-fetch_bs/385479_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000370,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00385480,21-00385480,SAMN30861754,NV_NSPHL_0000371,"fosA,emrD,oqxB,oqxA,kdeA,aac(6')-Ib,blaKPC-2,blaSHV-12,blaOXA,blaTEM-1,mph(A),sul1,dfrA12,aadA2",ST258,Klebsiella pneumoniae,not collected,2021-08-11,Sunrise,2021-07-21,CL2021-00385480-NV-MN01149-211004,69.22,5626018,TEM-1D.v1^;SHV-12;KPC-2,TEM-1D.v1^;SHV-12;KPC-2,ST258,36.45,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/89eced19-5442-42b4-822c-2cd770461384/call-fetch_bs/385480_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000371,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00386716,21-00386716,SAMN30861753,NV_NSPHL_0000372,"oqxB,oqxA,fosA,emrD,kdeA,blaKPC-3,catA1,blaSHV-12,aph(6)-Id,aph(3'')-Ib,sul2,mph(A),aadA1,blaOXA-9,dfrA14,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2021-08-12,Sunrise,2021-07-30,CL2021-00386716-NV-MN01149-211004,47.14,5636784,OXA-9.v1;KPC-3,OXA-9.v1;SHV-12;KPC-3,ST258,36.38,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/e835ad4c-9f2c-46ef-924a-235d6a42f0f8/call-fetch_bs/386716_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000372,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00387510,21-00387510,SAMN30861752,NV_NSPHL_0000373,blaOXA-193,No ST predicted,Campylobacter coli,not collected,2021-08-13,St. Mary's,2021-08-10,CL2021-00387510-NV-MN01149-210827,42.27,1796416,,,,35.02,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/b49a4e2c-ddde-4d5c-907d-b94fbf540ec3/basespace_fetch/d919ce86-4049-4acf-aa7c-f5309d7a3a07/call-fetch_bs/387510_R1.fastq.gz,NV-MN01149-210828,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000373,paired,RANDOM,GENOMIC,WGS,Campylobacter coli,ILLUMINA,WGS of HAIs,
21-00391665,21-00391665,SAMN30861751,NV_NSPHL_0000374,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,sul2,qnrB1,blaCTX-M-15,aadA2,sul1,dfrB1,aadA11",ST14,Klebsiella pneumoniae,not collected,2021-08-18,Spanish Hills,2021-07-30,CL2021-00391665-NV-MN01149-211004,42.67,5486349,CTX-M-15;KPC-2,qnrB1.v2^;CTX-M-15;KPC-2,ST14,36.4,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/2321e377-26dd-49ec-be7e-c51746055039/call-fetch_bs/391665_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000374,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00391666,21-00391666,SAMN30861750,NV_NSPHL_0000375,"blaSHV-28,kdeA,emrD,qnrB1,fosA,blaKPC-2,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib,catB3,blaOXA-1,blaOXA",ST14,Klebsiella pneumoniae,not collected,2021-08-18,Pam Specialty,2021-08-07,CL2021-00391666-NV-MN01149-211004,35.25,5577064,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,36.44,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/03962d57-735b-489b-b003-9783296906cf/call-fetch_bs/391666_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000375,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00391667,21-00391667,SAMN30861749,NV_NSPHL_0000376,"fosA,oqxB19,oqxA3,kdeA,emrD,qnrA1,dfrA1,sul1,blaSHV",ST35,Klebsiella pneumoniae,not collected,2021-08-18,Horizon Specialty,2021-08-08,CL2021-00391667-NV-MN01149-211004,29.82,5812266,,qnrA1^,ST35,36.34,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/6495cf7b-5ad3-4152-9393-73e8b6d97911/call-fetch_bs/391667_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000376,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00391668,21-00391668,SAMN30861748,NV_NSPHL_0000377,"fosA,blaSHV-28,kdeA,emrD,qnrB1,blaKPC-3,blaCTX-M-15,catB3,blaOXA-1,blaOXA,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2021-08-18,Kindred SNU,2021-08-02,CL2021-00391668-NV-MN01149-211004,48.45,5446754,OXA-1;CTX-M-15;KPC-3,qnrB1.v2^;OXA-1;CTX-M-15;KPC-3,ST14,36.42,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/2ef0c5e8-7566-4892-8d4e-ff7aea7f1c05/call-fetch_bs/391668_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000377,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00391671,21-00391671,SAMN30861747,NV_NSPHL_0000378,"oqxB,oqxA,fosA,aph(3')-Ia,blaACT-17,blaKPC-2,blaTEM,dfrA1,qnrA1,blaSHV-12,sul1",ST204,Enterobacter cloacae,not collected,2021-08-18,Kindred SNU,2021-07-24,CL2021-00391671-NV-MN01149-211004,31.03,5049467,ACT-17^;SHV-12;KPC-2,,,36.43,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/b08ea640-4d98-4da8-af82-be54a43073de/call-fetch_bs/391671_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000378,paired,RANDOM,GENOMIC,WGS,Enterobacter cloacae,ILLUMINA,WGS of HAIs,
21-00391672,21-00391672,SAMN30861746,NV_NSPHL_0000379,"blaSHV-28,kdeA,emrD,fosA,blaKPC-2,blaTEM-1,blaOXA,qnrB1,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib-cr5,blaOXA-1,catB3",ST14,Klebsiella pneumoniae,not collected,2021-08-18,Sunrise,2021-07-21,CL2021-00391672-NV-MN01149-211004,49.93,5520345,OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST14,36.42,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/b153a8d5-e8a6-4543-a7f3-ba8f436e0d32/call-fetch_bs/391672_R1.fastq.gz,NV-MN01149-211004,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000379,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
21-00391676,21-00391676,SAMN30861745,NV_NSPHL_0000380,"aph(3')-Ia,oqxA,oqxB,emrD,blaKPC-3,blaOXY-1-1",ST202,Klebsiella oxytoca,not collected,2021-08-18,Sunrise,2021-08-08,CL2021-00391676-NV-MN01149-211001,28.66,6238692,OXY-1-1^;KPC-3,OXY-1-1^;KPC-3,,35.73,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/34844788-c503-4eb8-8b66-1046f38fbea4/call-fetch_bs/391676_R1.fastq.gz,NV-MN01149-211001,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000380,paired,RANDOM,GENOMIC,WGS,Klebsiella oxytoca,ILLUMINA,WGS of HAIs,
21-00395007,21-00395007,SAMN30861744,NV_NSPHL_0000381,"oqxB,oqxA,fosA,emrD,blaSHV-11,kdeA,blaKPC-3,dfrA14,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2021-08-23,Sunrise,2021-08-12,CL2021-00395007-NV-MN01149-211001,56.15,5444431,TEM-1D.v1^;KPC-3,TEM-1D.v1^;KPC-3,ST258,35.62,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/d21e3fe9-ede2-4058-805f-9afaf5bd0b5b/basespace_fetch/00ea1260-76b1-44ca-ab45-2082d81f90a7/call-fetch_bs/395007_R1.fastq.gz,NV-MN01149-211001,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000381,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
