,GCA_000002545.2,GCA_001051215.1,GCA_001417835.1,GCA_001761485.1,GCA_001854445.1,GCA_001854445.2,GCA_003013715.2,GCA_003033855.1,GCA_003054405.1,GCA_003054445.1,GCA_003086655.1,GCA_003709285.1,GCA_004328465.1,GCA_008275145.1,GCA_009498055.1,GCA_009498075.1,GCA_009498095.1,GCA_009498115.1,GCA_009498135.1,GCA_014217455.1,GCA_014217725.1,GCA_014490615.1,GCA_014673535.1,GCA_016495645.1,GCA_016495665.1,GCA_016495685.1,GCA_016625955.1,GCA_016772135.1,GCA_016772155.1,GCA_016772175.1,GCA_016772195.1,GCA_016772215.1,GCA_016772235.1,GCA_016809505.1,GCA_018219195.1,GCA_019039235.1,GCA_019039275.1,GCA_019039295.1,GCA_019039315.1,GCA_019039335.1,GCA_019039355.1,GCA_019039375.1,GCA_019039395.1,GCA_019039415.1,GCA_019039435.1,GCA_019039455.1,GCA_019039475.1,GCA_019039495.1,GCA_019039515.1,GCA_019039535.1,GCA_019039555.1,GCA_019039575.1,GCA_019039595.1,GCA_019039615.1,GCA_019039635.1,GCA_019039655.1,GCA_019039675.1,GCA_019039695.1,GCA_019039715.1,GCA_019039735.1,GCA_019039755.1,GCA_019039775.1,GCA_019332045.1,GCA_020450195.1,GCA_020450215.1,GCA_020450235.1,GCA_020450265.1,GCA_021172205.1,GCA_022695735.1,GCA_023272835.1,GCA_023508825.1
GCA_018219195.1,0.9882,0.0786,0.9901,0.9937,0.9902,0.9902,0.9921,0.9903,0.9903,0.9901,0.0679,0.1708,0.0767,0.9922,0.9921,0.9921,0.9921,0.9921,0.9921,0.9922,0.9884,0.9935,0.9920,0.9922,0.9922,0.9921,0.9901,0.9920,0.9922,0.9922,0.9923,0.9923,0.9920,0.9923,0.0000,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9884,0.9884,0.9884,0.9884,0.1203,0.1771,0.9934,0.1670
GCA_019039235.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1429,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9927,0.9928,0.0039,0.1407,0.1403,0.1413,0.9920,0.0025,0.2950,0.0926,0.0950,0.0974,0.0030,0.4169,0.9920,0.0000,0.0002,0.0002,0.0003,0.0004,0.0003,0.0002,0.0006,0.0007,0.0005,0.0000,0.0005,0.0003,0.0003,0.0007,0.0002,0.0003,0.0004,0.0002,0.0002,0.0002,0.0003,0.0001,0.0000,0.0000,0.0002,0.0004,0.0002,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039275.1,0.9927,0.9921,0.9921,0.9929,0.9921,0.9921,0.1429,0.9927,0.9926,0.9925,0.9921,0.9920,0.9921,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0964,0.9927,0.9929,0.0040,0.1408,0.1403,0.1413,0.9920,0.0027,0.2950,0.0928,0.0952,0.0975,0.0032,0.4169,0.9921,0.0002,0.0000,0.0004,0.0005,0.0006,0.0005,0.0003,0.0006,0.0009,0.0007,0.0002,0.0007,0.0005,0.0005,0.0009,0.0004,0.0003,0.0006,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0004,0.0005,0.0004,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9930,0.9920
GCA_019039295.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1402,0.1411,0.9920,0.0024,0.2949,0.0925,0.0948,0.0972,0.0029,0.4168,0.9920,0.0002,0.0004,0.0000,0.0002,0.0002,0.0002,0.0004,0.0004,0.0010,0.0003,0.0003,0.0004,0.0001,0.0005,0.0005,0.0000,0.0001,0.0002,0.0001,0.0001,0.0000,0.0001,0.0004,0.0003,0.0003,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039315.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9926,0.9928,0.0038,0.1407,0.1402,0.1412,0.9920,0.0024,0.2949,0.0925,0.0949,0.0973,0.0030,0.4168,0.9920,0.0003,0.0005,0.0002,0.0000,0.0003,0.0002,0.0005,0.0005,0.0010,0.0004,0.0004,0.0005,0.0002,0.0005,0.0006,0.0001,0.0002,0.0003,0.0002,0.0002,0.0001,0.0002,0.0005,0.0004,0.0004,0.0001,0.0006,0.0001,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039335.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1429,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9927,0.9928,0.0039,0.1407,0.1403,0.1413,0.9920,0.0025,0.2950,0.0926,0.0950,0.0974,0.0030,0.4168,0.9920,0.0004,0.0006,0.0002,0.0003,0.0000,0.0003,0.0006,0.0006,0.0011,0.0005,0.0005,0.0005,0.0001,0.0006,0.0007,0.0002,0.0003,0.0004,0.0002,0.0002,0.0002,0.0003,0.0005,0.0005,0.0005,0.0002,0.0007,0.0002,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039355.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9926,0.9928,0.0038,0.1407,0.1402,0.1412,0.9920,0.0024,0.2950,0.0925,0.0949,0.0973,0.0030,0.4168,0.9920,0.0003,0.0005,0.0002,0.0002,0.0003,0.0000,0.0005,0.0005,0.0010,0.0004,0.0004,0.0005,0.0002,0.0005,0.0006,0.0001,0.0002,0.0003,0.0002,0.0002,0.0001,0.0002,0.0005,0.0004,0.0004,0.0001,0.0006,0.0001,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039375.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1431,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2996,0.9909,0.9909,0.9909,0.9909,0.9909,0.0963,0.9927,0.9928,0.0040,0.1409,0.1405,0.1414,0.9920,0.0027,0.2951,0.0928,0.0952,0.0975,0.0032,0.4170,0.9920,0.0002,0.0003,0.0004,0.0005,0.0006,0.0005,0.0000,0.0007,0.0009,0.0007,0.0002,0.0007,0.0005,0.0005,0.0009,0.0004,0.0005,0.0006,0.0004,0.0004,0.0004,0.0005,0.0003,0.0002,0.0002,0.0004,0.0005,0.0004,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039395.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1424,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9908,0.9909,0.0963,0.9926,0.9928,0.0039,0.1403,0.1398,0.1408,0.9920,0.0026,0.2949,0.0925,0.0948,0.0973,0.0030,0.4166,0.9920,0.0006,0.0006,0.0004,0.0005,0.0006,0.0005,0.0007,0.0000,0.0013,0.0007,0.0006,0.0007,0.0005,0.0008,0.0005,0.0004,0.0003,0.0006,0.0004,0.0004,0.0004,0.0003,0.0007,0.0006,0.0006,0.0004,0.0009,0.0004,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039415.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1424,0.9927,0.9926,0.9925,0.9921,0.9919,0.9920,0.2992,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9927,0.9928,0.0045,0.1402,0.1398,0.1407,0.9920,0.0032,0.2947,0.0924,0.0944,0.0969,0.0037,0.4169,0.9920,0.0007,0.0009,0.0010,0.0010,0.0011,0.0010,0.0009,0.0013,0.0000,0.0012,0.0007,0.0012,0.0010,0.0007,0.0011,0.0009,0.0010,0.0011,0.0010,0.0010,0.0009,0.0010,0.0008,0.0007,0.0007,0.0009,0.0011,0.0009,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039435.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1430,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2996,0.9909,0.9909,0.9909,0.9909,0.9909,0.0963,0.9926,0.9928,0.0039,0.1408,0.1404,0.1413,0.9920,0.0026,0.2951,0.0927,0.0951,0.0974,0.0031,0.4169,0.9920,0.0005,0.0007,0.0003,0.0004,0.0005,0.0004,0.0007,0.0007,0.0012,0.0000,0.0005,0.0006,0.0004,0.0007,0.0008,0.0003,0.0004,0.0005,0.0003,0.0003,0.0003,0.0004,0.0006,0.0005,0.0005,0.0003,0.0008,0.0003,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039455.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1430,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9927,0.9928,0.0039,0.1408,0.1404,0.1413,0.9920,0.0026,0.2950,0.0927,0.0950,0.0974,0.0031,0.4169,0.9920,0.0000,0.0002,0.0003,0.0004,0.0005,0.0004,0.0002,0.0006,0.0007,0.0005,0.0000,0.0006,0.0003,0.0003,0.0007,0.0002,0.0003,0.0005,0.0002,0.0003,0.0002,0.0003,0.0002,0.0001,0.0001,0.0002,0.0004,0.0002,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039475.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1429,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9926,0.9928,0.0040,0.1407,0.1403,0.1412,0.9920,0.0027,0.2950,0.0926,0.0950,0.0973,0.0032,0.4168,0.9920,0.0005,0.0007,0.0004,0.0005,0.0005,0.0005,0.0007,0.0007,0.0012,0.0006,0.0006,0.0000,0.0004,0.0007,0.0008,0.0003,0.0004,0.0005,0.0004,0.0004,0.0003,0.0004,0.0007,0.0006,0.0006,0.0003,0.0008,0.0003,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039495.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9927,0.9928,0.0037,0.1406,0.1402,0.1412,0.9920,0.0024,0.2949,0.0925,0.0949,0.0973,0.0029,0.4167,0.9920,0.0003,0.0005,0.0001,0.0002,0.0001,0.0002,0.0005,0.0005,0.0010,0.0004,0.0003,0.0004,0.0000,0.0005,0.0006,0.0001,0.0002,0.0003,0.0001,0.0001,0.0001,0.0002,0.0004,0.0003,0.0003,0.0001,0.0006,0.0001,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039515.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9921,0.9919,0.9921,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0963,0.9927,0.9928,0.0041,0.1405,0.1401,0.1411,0.9920,0.0027,0.2949,0.0927,0.0948,0.0973,0.0032,0.4168,0.9921,0.0003,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0008,0.0007,0.0007,0.0003,0.0007,0.0005,0.0000,0.0007,0.0004,0.0005,0.0006,0.0005,0.0005,0.0004,0.0005,0.0004,0.0003,0.0003,0.0004,0.0006,0.0004,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039535.1,0.9926,0.9920,0.9921,0.9928,0.9920,0.9920,0.1423,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9908,0.9909,0.0961,0.9926,0.9928,0.0041,0.1402,0.1397,0.1407,0.9920,0.0027,0.2950,0.0925,0.0945,0.0972,0.0033,0.4166,0.9920,0.0007,0.0009,0.0005,0.0006,0.0007,0.0006,0.0009,0.0005,0.0011,0.0008,0.0007,0.0008,0.0006,0.0007,0.0000,0.0005,0.0006,0.0007,0.0005,0.0005,0.0005,0.0006,0.0008,0.0007,0.0007,0.0005,0.0010,0.0005,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039555.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1401,0.1411,0.9920,0.0023,0.2949,0.0924,0.0948,0.0972,0.0028,0.4167,0.9920,0.0002,0.0004,0.0000,0.0001,0.0002,0.0001,0.0004,0.0004,0.0009,0.0003,0.0002,0.0003,0.0001,0.0004,0.0005,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0003,0.0002,0.0002,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039575.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2993,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9926,0.9928,0.0037,0.1405,0.1401,0.1410,0.9920,0.0024,0.2948,0.0925,0.0949,0.0973,0.0029,0.4167,0.9920,0.0003,0.0003,0.0001,0.0002,0.0003,0.0002,0.0005,0.0003,0.0010,0.0004,0.0003,0.0004,0.0002,0.0005,0.0006,0.0001,0.0000,0.0003,0.0001,0.0001,0.0001,0.0000,0.0004,0.0003,0.0003,0.0001,0.0006,0.0001,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039595.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1429,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9926,0.9928,0.0039,0.1407,0.1403,0.1413,0.9920,0.0025,0.2950,0.0926,0.0950,0.0974,0.0030,0.4168,0.9920,0.0004,0.0006,0.0002,0.0003,0.0004,0.0003,0.0006,0.0006,0.0011,0.0005,0.0005,0.0005,0.0003,0.0006,0.0007,0.0002,0.0003,0.0000,0.0002,0.0002,0.0002,0.0003,0.0005,0.0005,0.0005,0.0002,0.0007,0.0002,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039615.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1402,0.1411,0.9920,0.0024,0.2949,0.0925,0.0948,0.0972,0.0029,0.4168,0.9920,0.0002,0.0004,0.0001,0.0002,0.0002,0.0002,0.0004,0.0004,0.0010,0.0003,0.0002,0.0004,0.0001,0.0005,0.0005,0.0000,0.0001,0.0002,0.0000,0.0001,0.0000,0.0001,0.0004,0.0003,0.0003,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039635.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1428,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1402,0.1411,0.9920,0.0024,0.2949,0.0925,0.0948,0.0972,0.0029,0.4168,0.9920,0.0002,0.0004,0.0001,0.0002,0.0002,0.0002,0.0004,0.0004,0.0010,0.0003,0.0003,0.0004,0.0001,0.0005,0.0005,0.0000,0.0001,0.0002,0.0001,0.0000,0.0000,0.0001,0.0004,0.0003,0.0003,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039655.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1401,0.1411,0.9920,0.0023,0.2949,0.0924,0.0948,0.0972,0.0028,0.4167,0.9920,0.0002,0.0004,0.0000,0.0001,0.0002,0.0001,0.0004,0.0004,0.0009,0.0003,0.0002,0.0003,0.0001,0.0004,0.0005,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0003,0.0002,0.0002,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039675.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2993,0.9909,0.9909,0.9909,0.9909,0.9909,0.0961,0.9926,0.9928,0.0037,0.1405,0.1401,0.1410,0.9920,0.0024,0.2948,0.0925,0.0949,0.0973,0.0029,0.4167,0.9920,0.0003,0.0003,0.0001,0.0002,0.0003,0.0002,0.0005,0.0003,0.0010,0.0004,0.0003,0.0004,0.0002,0.0005,0.0006,0.0001,0.0000,0.0003,0.0001,0.0001,0.0001,0.0000,0.0004,0.0003,0.0003,0.0001,0.0006,0.0001,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039695.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1430,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2996,0.9909,0.9909,0.9909,0.9909,0.9909,0.0963,0.9927,0.9928,0.0040,0.1408,0.1404,0.1414,0.9920,0.0027,0.2951,0.0927,0.0951,0.0975,0.0032,0.4170,0.9920,0.0001,0.0003,0.0004,0.0005,0.0005,0.0005,0.0003,0.0007,0.0008,0.0006,0.0002,0.0007,0.0004,0.0004,0.0008,0.0003,0.0004,0.0005,0.0004,0.0004,0.0003,0.0004,0.0000,0.0002,0.0002,0.0003,0.0005,0.0003,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039715.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1430,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9927,0.9928,0.0039,0.1408,0.1404,0.1413,0.9920,0.0026,0.2950,0.0927,0.0950,0.0974,0.0031,0.4169,0.9920,0.0000,0.0002,0.0003,0.0004,0.0005,0.0004,0.0002,0.0006,0.0007,0.0005,0.0001,0.0006,0.0003,0.0003,0.0007,0.0002,0.0003,0.0005,0.0003,0.0003,0.0002,0.0003,0.0002,0.0000,0.0001,0.0002,0.0004,0.0002,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039735.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1429,0.9926,0.9925,0.9925,0.9921,0.9919,0.9920,0.2995,0.9909,0.9909,0.9909,0.9909,0.9909,0.0962,0.9927,0.9928,0.0039,0.1407,0.1403,0.1413,0.9920,0.0026,0.2950,0.0927,0.0951,0.0974,0.0031,0.4169,0.9920,0.0000,0.0002,0.0003,0.0004,0.0005,0.0004,0.0002,0.0006,0.0007,0.0005,0.0001,0.0006,0.0003,0.0003,0.0007,0.0002,0.0003,0.0005,0.0003,0.0003,0.0002,0.0003,0.0002,0.0001,0.0000,0.0002,0.0004,0.0002,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019039755.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1401,0.1411,0.9920,0.0023,0.2949,0.0924,0.0948,0.0972,0.0028,0.4167,0.9920,0.0002,0.0004,0.0000,0.0001,0.0002,0.0001,0.0004,0.0004,0.0009,0.0003,0.0002,0.0003,0.0001,0.0004,0.0005,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0003,0.0002,0.0002,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_019039775.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1431,0.9927,0.9925,0.9925,0.9921,0.9919,0.9920,0.2998,0.9909,0.9909,0.9909,0.9909,0.9909,0.0965,0.9927,0.9928,0.0041,0.1409,0.1405,0.1414,0.9920,0.0028,0.2948,0.0929,0.0947,0.0975,0.0033,0.4171,0.9920,0.0004,0.0005,0.0005,0.0006,0.0007,0.0006,0.0005,0.0009,0.0011,0.0008,0.0004,0.0008,0.0006,0.0006,0.0010,0.0005,0.0006,0.0007,0.0005,0.0005,0.0005,0.0006,0.0005,0.0004,0.0004,0.0005,0.0000,0.0005,0.9926,0.9926,0.9926,0.9926,0.9922,0.9922,0.9929,0.9919
GCA_019332045.1,0.9926,0.9920,0.9921,0.9928,0.9921,0.9921,0.1427,0.9926,0.9925,0.9925,0.9920,0.9919,0.9920,0.2994,0.9909,0.9909,0.9909,0.9909,0.9909,0.0960,0.9926,0.9928,0.0037,0.1406,0.1401,0.1411,0.9920,0.0023,0.2949,0.0924,0.0948,0.0972,0.0028,0.4167,0.9920,0.0002,0.0004,0.0000,0.0001,0.0002,0.0001,0.0004,0.0004,0.0009,0.0003,0.0002,0.0003,0.0001,0.0004,0.0005,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0003,0.0002,0.0002,0.0000,0.0005,0.0000,0.9925,0.9925,0.9925,0.9925,0.9922,0.9922,0.9929,0.9919
GCA_020450195.1,0.1613,0.9884,0.9893,0.9932,0.9891,0.9891,0.9926,0.9907,0.9908,0.9907,0.9885,0.9885,0.9884,0.9928,0.9922,0.9922,0.9922,0.9922,0.9922,0.9926,0.1780,0.9931,0.9925,0.9926,0.9926,0.9926,0.9891,0.9925,0.9929,0.9926,0.9926,0.9926,0.9925,0.9924,0.9884,0.9926,0.9926,0.9925,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9926,0.9926,0.9926,0.9925,0.9926,0.9925,0.0000,0.0002,0.0001,0.0003,0.9881,0.9882,0.9932,0.9883
GCA_020450215.1,0.1614,0.9884,0.9893,0.9932,0.9891,0.9891,0.9926,0.9907,0.9908,0.9907,0.9885,0.9885,0.9884,0.9928,0.9922,0.9922,0.9922,0.9922,0.9922,0.9926,0.1780,0.9931,0.9925,0.9926,0.9926,0.9926,0.9891,0.9925,0.9929,0.9926,0.9926,0.9926,0.9925,0.9924,0.9884,0.9926,0.9926,0.9925,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9926,0.9926,0.9926,0.9925,0.9926,0.9925,0.0002,0.0000,0.0002,0.0004,0.9881,0.9882,0.9932,0.9883
GCA_020450235.1,0.1613,0.9884,0.9893,0.9932,0.9891,0.9891,0.9926,0.9907,0.9908,0.9907,0.9885,0.9885,0.9884,0.9928,0.9922,0.9922,0.9922,0.9922,0.9922,0.9926,0.1780,0.9931,0.9925,0.9926,0.9926,0.9926,0.9891,0.9925,0.9929,0.9926,0.9926,0.9926,0.9925,0.9924,0.9884,0.9926,0.9926,0.9925,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9926,0.9926,0.9926,0.9925,0.9926,0.9925,0.0001,0.0002,0.0000,0.0003,0.9881,0.9882,0.9932,0.9883
GCA_020450265.1,0.1615,0.9884,0.9893,0.9932,0.9891,0.9891,0.9926,0.9907,0.9908,0.9907,0.9885,0.9885,0.9884,0.9928,0.9922,0.9922,0.9922,0.9922,0.9922,0.9926,0.1781,0.9931,0.9925,0.9926,0.9926,0.9926,0.9891,0.9925,0.9929,0.9926,0.9926,0.9926,0.9925,0.9924,0.9884,0.9926,0.9926,0.9925,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9925,0.9926,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9926,0.9926,0.9926,0.9925,0.9926,0.9925,0.0003,0.0004,0.0003,0.0000,0.9881,0.9882,0.9932,0.9883
GCA_021172205.1,0.9880,0.1069,0.9898,0.9937,0.9899,0.9899,0.9923,0.9902,0.9901,0.9900,0.0975,0.1622,0.1061,0.9923,0.9919,0.9919,0.9919,0.9919,0.9919,0.9925,0.9881,0.9936,0.9922,0.9924,0.9923,0.9923,0.9898,0.9922,0.9923,0.9924,0.9926,0.9925,0.9922,0.9923,0.1203,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9881,0.9881,0.9881,0.9881,0.0000,0.1636,0.9935,0.1630
GCA_022695735.1,0.9882,0.1665,0.9900,0.9938,0.9900,0.9900,0.9923,0.9905,0.9903,0.9902,0.1640,0.1497,0.1655,0.9925,0.9920,0.9920,0.9920,0.9920,0.9920,0.9924,0.9882,0.9938,0.9922,0.9924,0.9924,0.9924,0.9899,0.9922,0.9924,0.9924,0.9925,0.9925,0.9922,0.9925,0.1771,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9882,0.9882,0.9882,0.9882,0.1636,0.0000,0.9936,0.1546
GCA_023272835.1,0.9933,0.9935,0.9937,0.0434,0.9937,0.9937,0.9931,0.9938,0.9938,0.9938,0.9935,0.9935,0.9935,0.9930,0.9935,0.9935,0.9935,0.9935,0.9935,0.9930,0.9932,0.0852,0.9929,0.9931,0.9931,0.9931,0.9938,0.9929,0.9930,0.9929,0.9929,0.9930,0.9929,0.9926,0.9934,0.9929,0.9930,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9932,0.9932,0.9932,0.9932,0.9935,0.9936,0.0000,0.9935
