taxid,parent_taxid,name,rank,lineage_taxids,lineage,nchildren,ngenomes
1691904,286,Pseudomonas sediminis,species,"2, 1224, 1236, 72274, 135621, 286, 1691904",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas sediminis,0,1
1708783,286,Pseudomonas oceani,species,"2, 1224, 1236, 72274, 135621, 286, 1708783",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas oceani,0,1
1720063,286,Pseudomonas yangmingensis,species,"2, 1224, 1236, 72274, 135621, 286, 1720063",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas yangmingensis,0,1
1785145,286,Pseudomonas glycinae,species,"2, 1224, 1236, 72274, 135621, 286, 1785145",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas glycinae,0,1
1788301,286,Pseudomonas versuta,species,"2, 1224, 1236, 72274, 135621, 286, 1788301",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas versuta,0,1
1793966,286,Pseudomonas fluvialis,species,"2, 1224, 1236, 72274, 135621, 286, 1793966",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas fluvialis,0,1
1880678,286,Pseudomonas sivasensis,species,"2, 1224, 1236, 72274, 135621, 286, 1880678",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas sivasensis,0,1
1940636,286,Pseudomonas shirazica,species,"2, 1224, 1236, 72274, 135621, 286, 1940636",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas shirazica,0,1
1943631,286,Pseudomonas laurylsulfativorans,species,"2, 1224, 1236, 72274, 135621, 286, 1943631",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas laurylsulfativorans,0,1
1981513,286,Pseudomonas profundi,species,"2, 1224, 1236, 72274, 135621, 286, 1981513",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas profundi,0,1
2006980,286,Pseudomonas edaphica,species,"2, 1224, 1236, 72274, 135621, 286, 2006980",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas edaphica,0,1
2011015,286,Pseudomonas laurylsulfatiphila,species,"2, 1224, 1236, 72274, 135621, 286, 2011015",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas laurylsulfatiphila,0,1
2044872,286,Pseudomonas bohemica,species,"2, 1224, 1236, 72274, 135621, 286, 2044872",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas bohemica,0,1
2056231,286,Pseudomonas qingdaonensis,species,"2, 1224, 1236, 72274, 135621, 286, 2056231",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas qingdaonensis,0,1
2078689,286,Pseudomonas jilinensis,species,"2, 1224, 1236, 72274, 135621, 286, 2078689",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas jilinensis,0,1
2078786,286,Pseudomonas inefficax,species,"2, 1224, 1236, 72274, 135621, 286, 2078786",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas inefficax,0,1
2161748,286,Pseudomonas mangrovi,species,"2, 1224, 1236, 72274, 135621, 286, 2161748",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas mangrovi,0,1
2211392,286,Pseudomonas kirkiae,species,"2, 1224, 1236, 72274, 135621, 286, 2211392",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas kirkiae,0,1
2213015,286,Pseudomonas sichuanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2213015",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas sichuanensis,0,1
2268758,286,Pseudomonas laoshanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2268758",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas laoshanensis,0,1
2293832,286,Pseudomonas kairouanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2293832",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas kairouanensis,0,1
2293833,286,Pseudomonas nabeulensis,species,"2, 1224, 1236, 72274, 135621, 286, 2293833",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas nabeulensis,0,1
2364649,286,Pseudomonas laurentiana,species,"2, 1224, 1236, 72274, 135621, 286, 2364649",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas laurentiana,0,1
2482751,286,Pseudomonas nitrititolerans,species,"2, 1224, 1236, 72274, 135621, 286, 2482751",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas nitrititolerans,0,1
2487355,286,Pseudomonas carnis,species,"2, 1224, 1236, 72274, 135621, 286, 2487355",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas carnis,0,1
2502979,286,Pseudomonas khazarica,species,"2, 1224, 1236, 72274, 135621, 286, 2502979",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas khazarica,0,1
2505979,286,Pseudomonas viciae,species,"2, 1224, 1236, 72274, 135621, 286, 2505979",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas viciae,0,1
2565368,286,Pseudomonas atacamensis,species,"2, 1224, 1236, 72274, 135621, 286, 2565368",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas atacamensis,0,1
2571105,286,Pseudomonas nicosulfuronedens,species,"2, 1224, 1236, 72274, 135621, 286, 2571105",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas nicosulfuronedens,0,1
2571129,286,Pseudomonas rhizoryzae,species,"2, 1224, 1236, 72274, 135621, 286, 2571129",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas rhizoryzae,0,1
2586906,286,Pseudomonas saliphila,species,"2, 1224, 1236, 72274, 135621, 286, 2586906",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas saliphila,0,1
2599595,286,Pseudomonas eucalypticola,species,"2, 1224, 1236, 72274, 135621, 286, 2599595",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas eucalypticola,0,1
2600065,286,Pseudomonas haemolytica,species,"2, 1224, 1236, 72274, 135621, 286, 2600065",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas haemolytica,0,1
2607908,286,Pseudomonas kitaguniensis,species,"2, 1224, 1236, 72274, 135621, 286, 2607908",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas kitaguniensis,0,1
2666183,286,Pseudomonas juntendi,species,"2, 1224, 1236, 72274, 135621, 286, 2666183",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas juntendi,0,1
2681983,286,Pseudomonas bijieensis,species,"2, 1224, 1236, 72274, 135621, 286, 2681983",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas bijieensis,0,1
2697028,286,Pseudomonas crudilactis,species,"2, 1224, 1236, 72274, 135621, 286, 2697028",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas crudilactis,0,1
2710591,286,Pseudomonas arcuscaelestis,species,"2, 1224, 1236, 72274, 135621, 286, 2710591",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas arcuscaelestis,0,1
2715964,286,Pseudomonas typographi,species,"2, 1224, 1236, 72274, 135621, 286, 2715964",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas typographi,0,1
2722792,286,Pseudomonas quercus,species,"2, 1224, 1236, 72274, 135621, 286, 2722792",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas quercus,0,1
2724178,286,Pseudomonas cremoris,species,"2, 1224, 1236, 72274, 135621, 286, 2724178",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas cremoris,0,1
2730413,286,Pseudomonas pisciculturae,species,"2, 1224, 1236, 72274, 135621, 286, 2730413",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas pisciculturae,0,1
2730425,286,Pseudomonas neuropathica,species,"2, 1224, 1236, 72274, 135621, 286, 2730425",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas neuropathica,0,1
2745482,286,Pseudomonas kermanshahensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745482",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas kermanshahensis,0,1
2745490,286,Pseudomonas xantholysinigenes,species,"2, 1224, 1236, 72274, 135621, 286, 2745490",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas xantholysinigenes,0,1
2745492,286,Pseudomonas farsensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745492",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas farsensis,0,1
2745496,286,Pseudomonas zanjanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745496",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas zanjanensis,0,1
2745500,286,Pseudomonas marvdashtae,species,"2, 1224, 1236, 72274, 135621, 286, 2745500",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas marvdashtae,0,1
2745502,286,Pseudomonas tehranensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745502",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas tehranensis,0,1
2745504,286,Pseudomonas hamedanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745504",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas hamedanensis,0,1
2745508,286,Pseudomonas khorasanensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745508",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas khorasanensis,0,1
2745509,286,Pseudomonas monsensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745509",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas monsensis,0,1
2745510,286,Pseudomonas zeae,species,"2, 1224, 1236, 72274, 135621, 286, 2745510",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas zeae,0,1
2745511,286,Pseudomonas tensinigenes,species,"2, 1224, 1236, 72274, 135621, 286, 2745511",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas tensinigenes,0,1
2745514,286,Pseudomonas salmasensis,species,"2, 1224, 1236, 72274, 135621, 286, 2745514",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas salmasensis,0,1
2750624,286,Pseudomonas paraversuta,species,"2, 1224, 1236, 72274, 135621, 286, 2750624",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas paraversuta,0,1
2750625,286,Pseudomonas paracarnis,species,"2, 1224, 1236, 72274, 135621, 286, 2750625",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas paracarnis,0,1
2762576,286,Pseudomonas baltica,species,"2, 1224, 1236, 72274, 135621, 286, 2762576",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas baltica,0,1
2762577,286,Pseudomonas kielensis,species,"2, 1224, 1236, 72274, 135621, 286, 2762577",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas kielensis,0,1
2762745,286,Pseudomonas carbonaria,species,"2, 1224, 1236, 72274, 135621, 286, 2762745",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas carbonaria,0,1
2774460,286,Pseudomonas allokribbensis,species,"2, 1224, 1236, 72274, 135621, 286, 2774460",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas allokribbensis,0,1
2774461,286,Pseudomonas gozinkensis,species,"2, 1224, 1236, 72274, 135621, 286, 2774461",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas gozinkensis,0,1
2813360,286,Pseudomonas lactucae,species,"2, 1224, 1236, 72274, 135621, 286, 2813360",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas lactucae,0,1
2841207,286,Pseudomonas farris,species,"2, 1224, 1236, 72274, 135621, 286, 2841207",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas farris,0,1
2842346,286,Pseudomonas siliginis,species,"2, 1224, 1236, 72274, 135621, 286, 2842346",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas siliginis,0,1
2842347,286,Pseudomonas azerbaijanoccidens,species,"2, 1224, 1236, 72274, 135621, 286, 2842347",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas azerbaijanoccidens,0,1
2842348,286,Pseudomonas alvandae,species,"2, 1224, 1236, 72274, 135621, 286, 2842348",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas alvandae,0,1
2842349,286,Pseudomonas asgharzadehiana,species,"2, 1224, 1236, 72274, 135621, 286, 2842349",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas asgharzadehiana,0,1
2842350,286,Pseudomonas azerbaijanoriens,species,"2, 1224, 1236, 72274, 135621, 286, 2842350",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas azerbaijanoriens,0,1
2842352,286,Pseudomonas botevensis,species,"2, 1224, 1236, 72274, 135621, 286, 2842352",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas botevensis,0,1
2842353,286,Pseudomonas ekonensis,species,"2, 1224, 1236, 72274, 135621, 286, 2842353",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas ekonensis,0,1
2842354,286,Pseudomonas maumuensis,species,"2, 1224, 1236, 72274, 135621, 286, 2842354",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas maumuensis,0,1
2842355,286,Pseudomonas fakonensis,species,"2, 1224, 1236, 72274, 135621, 286, 2842355",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas fakonensis,0,1
2842356,286,Pseudomonas xanthosomae,species,"2, 1224, 1236, 72274, 135621, 286, 2842356",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas xanthosomae,0,1
2842357,286,Pseudomonas muyukensis,species,"2, 1224, 1236, 72274, 135621, 286, 2842357",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas muyukensis,0,1
352,135621,Azotobacter,genus,"2, 1224, 1236, 72274, 135621, 352",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azotobacter,2,2
353,352,Azotobacter chroococcum,species,"2, 1224, 1236, 72274, 135621, 352, 353",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azotobacter Azotobacter chroococcum,0,1
170623,352,Azotobacter beijerinckii,species,"2, 1224, 1236, 72274, 135621, 352, 170623",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azotobacter Azotobacter beijerinckii,0,1
69961,135621,Azomonas,genus,"2, 1224, 1236, 72274, 135621, 69961",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azomonas,1,1
116849,69961,Azomonas agilis,species,"2, 1224, 1236, 72274, 135621, 69961, 116849",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azomonas Azomonas agilis,0,1
1649479,135621,Permianibacter,genus,"2, 1224, 1236, 72274, 135621, 1649479",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Permianibacter,2,2
1510150,1649479,Permianibacter aggregans,species,"2, 1224, 1236, 72274, 135621, 1649479, 1510150",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Permianibacter Permianibacter aggregans,0,1
2738515,1649479,Permianibacter fluminis,species,"2, 1224, 1236, 72274, 135621, 1649479, 2738515",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Permianibacter Permianibacter fluminis,0,1
1654787,135621,Thiopseudomonas,genus,"2, 1224, 1236, 72274, 135621, 1654787",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Thiopseudomonas,1,1
1501432,1654787,Thiopseudomonas denitrificans,species,"2, 1224, 1236, 72274, 135621, 1654787, 1501432",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Thiopseudomonas Thiopseudomonas denitrificans,0,1
1849530,135621,Oblitimonas,genus,"2, 1224, 1236, 72274, 135621, 1849530",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Oblitimonas,1,1
1697053,1849530,Oblitimonas alkaliphila,species,"2, 1224, 1236, 72274, 135621, 1849530, 1697053",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Oblitimonas Oblitimonas alkaliphila,0,1
2758906,135621,Entomomonas,genus,"2, 1224, 1236, 72274, 135621, 2758906",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Entomomonas,1,1
2213226,2758906,Entomomonas moraniae,species,"2, 1224, 1236, 72274, 135621, 2758906, 2213226",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Entomomonas Entomomonas moraniae,0,1
1827282,72274,Ventosimonadaceae,family,"2, 1224, 1236, 72274, 1827282",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Ventosimonadaceae,1,1
1827307,1827282,Ventosimonas,genus,"2, 1224, 1236, 72274, 1827282, 1827307",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Ventosimonadaceae Ventosimonas,1,1
1680762,1827307,Ventosimonas gracilis,species,"2, 1224, 1236, 72274, 1827282, 1827307, 1680762",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Ventosimonadaceae Ventosimonas Ventosimonas gracilis,0,1
2887365,72274,Marinobacteraceae,family,"2, 1224, 1236, 72274, 2887365",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae,3,50
2742,2887365,Marinobacter,genus,"2, 1224, 1236, 72274, 2887365, 2742",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter,48,48
2743,2742,Marinobacter nauticus,species,"2, 1224, 1236, 72274, 2887365, 2742, 2743",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter nauticus,0,1
135739,2742,Marinobacter lutaoensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 135739",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter lutaoensis,0,1
187981,2742,Marinobacter litoralis,species,"2, 1224, 1236, 72274, 2887365, 2742, 187981",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter litoralis,0,1
209639,2742,Marinobacter lipolyticus,species,"2, 1224, 1236, 72274, 2887365, 2742, 209639",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter lipolyticus,0,1
236100,2742,Marinobacter algicola,species,"2, 1224, 1236, 72274, 2887365, 2742, 236100",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter algicola,0,1
256323,2742,Marinobacter sediminum,species,"2, 1224, 1236, 72274, 2887365, 2742, 256323",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter sediminum,0,1
262076,2742,Marinobacter flavimaris,species,"2, 1224, 1236, 72274, 2887365, 2742, 262076",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter flavimaris,0,1
262077,2742,Marinobacter daepoensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 262077",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter daepoensis,0,1
277961,2742,Marinobacter maritimus,species,"2, 1224, 1236, 72274, 2887365, 2742, 277961",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter maritimus,0,1
330734,2742,Marinobacter psychrophilus,species,"2, 1224, 1236, 72274, 2887365, 2742, 330734",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter psychrophilus,0,1
355591,2742,Marinobacter vinifirmus,species,"2, 1224, 1236, 72274, 2887365, 2742, 355591",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter vinifirmus,0,1
375760,2742,Marinobacter gudaonensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 375760",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter gudaonensis,0,1
379482,2742,Marinobacter pelagius,species,"2, 1224, 1236, 72274, 2887365, 2742, 379482",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter pelagius,0,1
430453,2742,Marinobacter segnicrescens,species,"2, 1224, 1236, 72274, 2887365, 2742, 430453",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter segnicrescens,0,1
432303,2742,Marinobacter guineae,species,"2, 1224, 1236, 72274, 2887365, 2742, 432303",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter guineae,0,1
435907,2742,Marinobacter salicampi,species,"2, 1224, 1236, 72274, 2887365, 2742, 435907",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter salicampi,0,1
488533,2742,Marinobacter mobilis,species,"2, 1224, 1236, 72274, 2887365, 2742, 488533",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter mobilis,0,1
488535,2742,Marinobacter zhejiangensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 488535",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter zhejiangensis,0,1
523742,2742,Marinobacter santoriniensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 523742",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter santoriniensis,0,1
564117,2742,Marinobacter antarcticus,species,"2, 1224, 1236, 72274, 2887365, 2742, 564117",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter antarcticus,0,1
578215,2742,Marinobacter zhanjiangensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 578215",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter zhanjiangensis,0,1
643747,2742,Marinobacter oulmenensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 643747",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter oulmenensis,0,1
650891,2742,Marinobacter daqiaonensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 650891",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter daqiaonensis,0,1
930118,2742,Marinobacter persicus,species,"2, 1224, 1236, 72274, 2887365, 2742, 930118",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter persicus,0,1
1033846,2742,Marinobacter adhaerens,species,"2, 1224, 1236, 72274, 2887365, 2742, 1033846",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter adhaerens,0,1
1137280,2742,Marinobacter nitratireducens,species,"2, 1224, 1236, 72274, 2887365, 2742, 1137280",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter nitratireducens,0,1
1305740,2742,Marinobacter nanhaiticus,species,"2, 1224, 1236, 72274, 2887365, 2742, 1305740",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter nanhaiticus,0,1
1323740,2742,Marinobacter halophilus,species,"2, 1224, 1236, 72274, 2887365, 2742, 1323740",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter halophilus,0,1
1389223,2742,Marinobacter shengliensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 1389223",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter shengliensis,0,1
1420917,2742,Marinobacter salarius,species,"2, 1224, 1236, 72274, 2887365, 2742, 1420917",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter salarius,0,1
1494078,2742,Marinobacter aromaticivorans,species,"2, 1224, 1236, 72274, 2887365, 2742, 1494078",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter aromaticivorans,0,1
1562308,2742,Marinobacter piscensis,species,"2, 1224, 1236, 72274, 2887365, 2742, 1562308",Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Marinobacteraceae Marinobacter Marinobacter piscensis,0,1
