Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
21_00364029	134	85	66	61	51	42	5733308	5717396	5674815	5639322	5462413	5143749	93	328430	5722255	127921	84716	16	30	0.00
21_00364031	140	78	62	59	49	35	5516364	5492554	5451543	5429029	5271637	4729718	92	647771	5502098	132187	79291	13	26	0.00
21_00364033	165	95	74	65	49	37	5621024	5592652	5540366	5474587	5236832	4823837	114	277607	5606273	129389	87401	15	28	0.00
21_00364034	88	56	46	41	38	31	5473517	5462157	5434021	5398684	5345819	5073862	61	656919	5466070	173420	116814	10	20	0.00
21_00364035	132	81	65	59	48	37	5520880	5500815	5467293	5423989	5263550	4867389	94	296364	5509809	129823	95615	14	27	0.00
21_00364041	87	62	49	40	36	28	5639282	5629233	5599996	5532119	5451327	5154670	68	503145	5633528	175456	122679	9	18	0.00
21_00364970	94	57	45	40	27	15	2184745	2172508	2143836	2108743	1886188	1449645	61	255497	2175427	72867	42027	10	20	0.00
21_00364971	85	54	45	42	31	15	2128924	2117624	2096500	2079424	1889173	1300411	59	178004	2121323	59577	38132	11	22	0.00
21_00365295	350	168	77	67	54	39	5842460	5756929	5571282	5499877	5288701	4759350	236	270001	5805652	113248	69250	18	33	0.00
21_00365296	420	143	75	61	43	27	5195696	5081073	4928409	4835972	4569903	4037622	215	295054	5130510	122599	88072	13	25	0.00
21_00365297	44	21	16	16	14	10	1699918	1689886	1679180	1679180	1657043	1516776	27	317769	1694081	158283	129655	4	7	0.00
21_00365511	168	98	69	62	49	37	5626308	5597023	5525820	5472595	5279993	4884283	121	277607	5612743	130463	87401	15	28	0.00
21_00365513	60	36	32	28	25	22	5006932	4996844	4987837	4961194	4914343	4803114	44	803387	5002128	327475	127513	5	11	0.00
21_00365514	80	55	44	43	41	32	5400551	5390902	5365155	5360064	5333084	4978563	61	654232	5395502	152323	112307	10	20	0.00
21_00365516	115	79	55	48	42	34	5529452	5512974	5460100	5411682	5308933	4991714	90	654180	5521647	143330	87100	11	23	0.00
21_00366466	153	92	61	58	47	36	5506672	5482345	5405620	5380452	5189661	4796889	108	269468	5494011	127786	95616	15	27	0.00
21_00366467	206	96	70	64	47	31	5472593	5433680	5363654	5323002	5049318	4501995	114	365783	5446477	155385	72038	12	24	0.00
21_00366833	45	18	16	16	15	13	4762322	4752634	4743287	4743287	4721937	4663189	26	1621855	4757371	538335	400843	3	5	0.00
21_00367832b	69	23	18	18	18	16	4522105	4508400	4496237	4496237	4496237	4437211	27	948060	4511209	471678	206530	4	7	0.00
21_00367992	76	23	19	19	19	16	4520455	4503209	4494585	4494585	4494585	4389770	31	925010	4508864	333695	195285	4	9	0.00
21_00368190	154	88	62	52	40	27	5535407	5511110	5448466	5379296	5198436	4748060	103	619142	5522112	198703	99494	10	20	0.00
21_00368191	85	62	47	44	41	36	5592745	5582852	5548118	5525774	5469586	5282924	70	498426	5588802	162312	95487	10	21	0.00
21_00368193	86	55	46	44	40	32	5403277	5390508	5369812	5358641	5305402	4994377	63	654180	5396803	152323	112307	10	20	0.00
21_00368194	99	62	50	47	46	41	5617085	5602309	5574923	5554008	5542322	5340783	72	333344	5609237	145032	95594	14	26	0.00
21_00368644A	47	34	30	26	24	21	5043096	5036908	5026941	5000298	4974183	4859778	40	762975	5041048	418498	170990	5	10	0.00
21_00368644B	70	44	34	29	21	13	1665864	1654953	1626654	1590469	1470671	1205422	52	154590	1660282	78104	48969	8	14	0.00
21_00369431	407	303	223	160	51	6	4487391	4449291	4228406	3765012	2001079	406893	316	107008	4459255	22188	13674	61	125	0.00
21_00369565	602	159	93	76	53	34	5690528	5525062	5374069	5247275	4909770	4206569	258	282691	5592705	117942	50109	17	34	0.00
21_00369711	59	32	24	24	23	22	4668353	4659351	4641496	4641496	4631112	4594477	36	520320	4661978	247465	150921	6	12	0.00
21_00369713	55	35	29	26	22	21	4829281	4822619	4810950	4788991	4710276	4673491	37	593130	4824096	443590	175901	5	11	0.00
21_00370301	83	58	40	36	32	26	5413402	5403854	5354147	5321929	5251980	5038132	63	889304	5407428	206803	134986	8	15	0.00
21_00370302	91	62	44	41	38	29	5412595	5401701	5352146	5329066	5269539	4963173	67	690732	5404931	193035	101421	8	18	0.00
21_00370303	167	102	75	66	52	38	5620169	5592909	5529997	5466640	5254954	4774067	122	277608	5606696	117019	84387	16	30	0.00
21_00370304	89	58	49	45	42	35	5508564	5497668	5477611	5445692	5398669	5120873	64	654180	5501688	143330	104826	12	22	0.00
21_00370305	167	91	65	56	41	33	5111252	5080986	5006762	4946745	4714881	4427898	108	377490	5092256	136754	85724	12	24	0.00
21_00370306	108	72	60	57	50	33	5648232	5632220	5596267	5573347	5456822	4848614	82	419000	5640144	152323	86860	12	24	0.00
21_00370307	115	69	49	44	36	22	3942787	3926146	3880275	3843547	3713113	3210522	78	293160	3931825	162160	71346	10	18	0.00
21_00370308	99	61	49	45	42	33	5547707	5533518	5509780	5478848	5424533	5071466	70	657019	5539900	147303	104906	11	21	0.00
21_00370309	136	88	67	57	47	27	4750439	4732250	4688568	4609029	4449094	3624870	98	488253	4738422	112343	53671	12	26	0.00
21_00370310	80	54	43	40	30	26	4862072	4852919	4826388	4802930	4613792	4503882	58	842060	4855556	201820	110310	8	17	0.00
21_00370311	91	62	47	44	42	36	5591698	5580739	5539238	5518625	5478964	5252393	69	498426	5585871	151692	98054	11	22	0.00
21_00370312	51	19	16	15	15	13	4571166	4561508	4556202	4551162	4551162	4474458	22	908684	4563805	496256	345287	4	7	0.00
21_00370313	100	71	58	55	48	31	5648944	5636715	5601907	5577670	5465982	4844700	79	480166	5643110	144142	93120	12	23	0.00
21_00370314	69	30	25	18	15	13	4580675	4568974	4559652	4512384	4450636	4395380	35	754822	4572306	554690	292400	4	6	0.00
21_00370315	106	67	51	46	36	22	4034903	4022001	3983911	3947178	3780764	3235658	74	292866	4026782	162160	78613	10	19	0.00
21_00370317	152	114	79	69	47	26	3976596	3958048	3877909	3800557	3440652	2658431	130	346322	3969565	64974	38550	15	34	0.00
21_00370318	113	82	59	54	43	30	4024285	4011134	3958774	3923099	3726117	3254404	92	309420	4018154	102981	61254	12	26	0.00
21_00370319	116	62	48	42	36	25	4321505	4299337	4260251	4212721	4120205	3734155	75	665853	4308925	151078	81202	7	17	0.00
21_00370320	92	66	54	49	39	22	4013719	4001842	3974793	3936964	3772796	3172655	77	339397	4009211	158853	71301	10	20	0.00
21_00370321	150	131	93	81	55	26	3934265	3924226	3837232	3761466	3348724	2301521	139	267308	3930142	63736	36842	21	42	0.00
21_00370322	57	35	28	28	27	22	6504525	6495914	6475878	6475878	6459897	6249755	40	785241	6499105	302752	234196	7	13	0.00
21_00370323	124	51	37	35	33	26	6377407	6350828	6320190	6306628	6274604	6012879	62	832072	6358490	272396	131499	6	14	0.00
21_00370324	139	58	45	41	37	31	6699168	6669473	6640346	6617888	6536973	6310956	74	571640	6680051	277820	137256	8	17	0.00
21_00370326	120	57	46	43	42	35	7034066	7006778	6981006	6955768	6944225	6720324	72	625829	7018441	237359	152338	10	20	0.00
21_00370385	24	18	15	14	14	12	1669498	1666216	1657851	1651805	1651805	1590004	21	193707	1668361	154702	103147	5	9	0.00
21_00370693	103	48	39	38	30	24	4679452	4660717	4641401	4633535	4501639	4281827	55	665535	4665165	208153	109605	7	15	0.00
21_00371362	65	19	15	15	15	14	4787888	4774673	4768009	4768009	4768009	4731247	22	761633	4776492	495473	365911	4	7	0.00
21_00371363	74	38	32	30	29	26	4941526	4927879	4917003	4904159	4882376	4772436	47	600753	4933990	222915	152655	8	14	0.00
21_00371740	149	119	97	89	63	35	4695002	4681001	4637044	4578616	4128989	3083864	129	191813	4689026	68814	41395	23	45	0.00
21_00372063	991	560	250	166	73	30	6720938	6523932	5828608	5225089	3771075	2206205	703	124834	6632374	30933	11782	58	143	0.00
21_00372500	426	161	92	72	60	37	5414489	5307754	5160497	5015502	4825323	3992660	229	204478	5354904	99290	48310	20	38	0.00
21_00372680	83	52	40	34	30	24	4705108	4691491	4662395	4621493	4559707	4345213	62	567799	4699412	200084	133731	8	15	0.00
21_00373409	50	32	28	26	26	22	4622502	4615665	4604960	4593780	4593780	4451385	37	506851	4619037	214294	168221	7	13	0.00
21_00373410	20	13	11	10	9	9	1716719	1713346	1710535	1704527	1691964	1691964	17	295471	1716033	199468	154263	4	6	0.00
21_00373691	388	133	102	83	59	34	5039708	4965814	4888720	4736558	4324620	3435517	157	234444	4982565	81331	42813	20	41	0.00
21_00375467	87	45	32	31	28	25	5599952	5586826	5553075	5545405	5494789	5395072	51	691775	5591170	353602	141842	7	13	0.00
21_00375469	132	73	46	40	36	31	5625039	5602622	5536621	5489413	5426660	5259981	85	501722	5611469	216118	119763	10	18	0.00
21_00375470	142	81	51	39	37	33	5621939	5598871	5523372	5432444	5403158	5270888	94	642213	5608271	194166	111435	10	19	0.00
21_00375473	100	40	32	26	25	23	6041123	6022324	6007402	5969037	5954284	5872354	51	974966	6029288	331186	192727	6	12	0.00
21_00375476	124	64	41	35	30	24	5556699	5533665	5481180	5442869	5369872	5154104	78	977137	5543065	286099	132275	7	14	0.00
21_00375477	326	135	101	89	67	38	5672388	5613528	5534782	5445566	5066009	4082083	154	269666	5627220	86595	45777	19	41	0.00
21_00375478	84	41	32	30	29	24	5404314	5387936	5367879	5353092	5342450	5155101	53	975917	5395698	269398	147391	6	13	0.00
21_00376116	113	73	58	50	38	24	3931368	3917394	3883896	3829797	3606869	3110304	80	374296	3922631	116947	64682	10	21	0.00
21_00376467	84	47	33	30	28	25	5602157	5590881	5556965	5534199	5494210	5394493	51	691846	5594143	272311	143094	7	13	0.00
21_00379180	25	13	12	11	10	9	1650105	1643762	1642473	1636354	1622333	1586636	19	325338	1648033	203945	161270	4	6	0.00
21_00382472	92	43	33	32	29	23	5377674	5359711	5337833	5331228	5277454	5056051	54	851240	5366705	300509	143417	6	12	0.00
21_00382475	113	60	47	45	37	29	4969777	4952871	4919538	4907949	4778194	4459569	67	341202	4958068	182139	84065	10	19	0.00
21_00382476	85	49	37	32	28	24	5607402	5594426	5561523	5522769	5457550	5330153	58	732545	5600684	357135	178565	6	11	0.00
21_00382477	81	42	31	28	24	19	5396131	5380369	5353482	5331491	5284897	5117440	56	975744	5389216	329187	214087	6	11	0.00
21_00382554	62	27	21	20	18	15	4681974	4670569	4658443	4651629	4623734	4504132	32	1121444	4674229	537641	228307	3	7	0.00
21_00382555	27	16	13	11	11	11	1675152	1669873	1663549	1647897	1647897	1647897	20	388253	1672762	154882	104406	4	7	0.00
21_00382557	37	12	9	8	7	7	1670139	1660933	1654170	1648083	1636107	1636107	17	475036	1664644	394507	258915	2	4	0.00
21_00384581	116	42	32	31	29	24	4477842	4453723	4435576	4430344	4398062	4197737	52	378764	4460303	261471	108334	7	14	0.00
21_00385477	173	96	69	60	44	34	5587260	5560765	5497808	5432187	5192722	4856150	108	430021	5568511	142289	87591	12	24	0.00
21_00385478	124	67	52	49	38	31	5394473	5376641	5345506	5322166	5147133	4912790	73	512084	5380999	167264	99494	10	21	0.00
21_00385479	58	32	25	22	21	18	5490384	5482791	5462442	5443555	5425356	5334294	33	914583	5483429	524871	228819	4	8	0.00
21_00385480	163	89	65	57	40	30	5642444	5616362	5559746	5496950	5210393	4836842	103	421902	5626018	143618	95785	11	22	0.00
21_00386716	166	84	57	50	36	27	5654370	5623717	5561323	5511456	5281585	4985645	102	619142	5636784	224993	107160	9	19	0.00
21_00387510	45	20	13	12	12	10	1798860	1785512	1768469	1762642	1762642	1687671	36	381722	1796416	158798	139479	4	7	0.00
21_00391665	101	52	36	35	31	23	5498887	5481705	5443713	5435454	5372940	5106064	58	557131	5486349	311527	158325	7	14	0.00
21_00391666	108	58	39	36	29	25	5588657	5569298	5530283	5512010	5380625	5249507	69	977436	5577064	269366	143419	7	14	0.00
21_00391667	126	68	56	50	38	28	5824378	5804557	5777863	5737089	5535249	5196432	80	663631	5812266	332857	101041	7	17	0.00
21_00391668	103	60	45	41	33	25	5455225	5439628	5414230	5389788	5236544	4966178	71	483467	5446754	231126	136385	8	16	0.00
21_00391671	64	32	27	22	19	15	5056557	5045885	5033582	5001266	4952177	4818677	37	1218342	5049467	598917	298127	3	6	0.00
21_00391672	108	53	41	38	33	25	5533275	5513723	5485116	5463667	5390489	5110368	63	975745	5520345	270144	143419	7	14	0.00
21_00391676	130	64	55	55	46	35	6253885	6232841	6205230	6205230	6068011	5674922	73	830205	6238692	215848	102166	9	21	0.00
21_00393597	77	40	32	27	23	17	5208695	5195355	5178593	5146648	5076494	4860642	47	800454	5199825	522872	167484	4	8	0.00
21_00393598	98	41	33	30	24	21	5301120	5279673	5261734	5239863	5137155	5026393	53	814679	5288407	333148	184306	5	11	0.00
21_00393599	114	52	37	31	28	24	4973071	4948477	4905159	4864129	4817089	4695172	71	717222	4961250	233458	126843	6	13	0.00
21_00393600	101	41	31	27	23	19	5388283	5365796	5343288	5315855	5254273	5102268	53	814678	5374818	543368	184306	4	10	0.00
21_00393601	81	31	27	26	25	19	5274901	5259792	5252404	5246096	5229864	5015071	36	968287	5263253	549070	135349	4	8	0.00
21_00395007	132	75	58	54	43	33	5456518	5436780	5408104	5374725	5203135	4861984	86	383964	5444431	150835	99494	11	22	0.00
21_00395008	128	68	53	52	44	31	6258060	6236682	6193648	6186823	6046330	5579169	82	1007620	6245637	215848	103357	9	19	0.00
21_00395009	170	63	47	38	33	23	4348341	4306962	4261653	4191798	4112498	3776009	91	547967	4326401	164419	81245	7	16	0.00
21_00395011	171	90	65	58	42	34	5656440	5626540	5567923	5516718	5252282	4992206	107	556995	5638977	141661	95785	12	24	0.00
21_00396531	23	19	12	10	10	10	1691996	1691041	1675565	1661806	1661806	1661806	19	259163	1691041	179818	151278	4	7	0.00
21_00398555	140	77	63	54	38	28	5645220	5621419	5590123	5515861	5231322	4854215	92	426352	5631947	173754	99514	10	21	0.00
21_00398556	210	105	72	60	43	33	5776116	5736995	5654802	5569127	5315038	4949025	127	556368	5753462	137405	95238	12	24	0.00
21_00399187	95	29	24	22	19	16	5334499	5314927	5305117	5292987	5251717	5143864	35	2016643	5318679	456152	209776	3	7	0.00
21_00399188	101	36	28	25	22	19	5284146	5259097	5243476	5225759	5181846	5064060	51	1031402	5269375	381114	204860	5	9	0.00
21_00399189	91	39	30	27	23	19	5298211	5278895	5256277	5234406	5172604	5012070	51	814669	5287055	377124	186861	5	10	0.00
21_00399190	134	60	47	39	32	25	5482035	5456068	5425592	5373494	5251721	5003319	71	502613	5463705	269041	106297	8	15	0.00
21_00400696	23	15	13	11	8	8	1676706	1673324	1668452	1654938	1602937	1602937	18	577230	1675448	164020	149711	3	5	0.00
21_00404510	34	23	17	14	13	10	1746419	1740017	1726467	1701356	1680839	1561024	29	393049	1744600	145282	109774	4	7	0.00
21_00404878	79	43	34	30	25	21	5408358	5394970	5376381	5350597	5276739	5136548	52	977261	5400934	329725	172058	6	11	0.00
21_00404880	119	57	38	33	29	23	5675451	5652571	5609794	5575598	5504944	5282542	70	570174	5661593	249244	158205	8	15	0.00
21_00404881	148	75	53	44	35	24	5554517	5521557	5475599	5414046	5284371	4886556	105	787100	5543393	248442	104722	6	15	0.00
21_00404882	79	38	33	31	28	23	5399712	5382638	5370753	5357296	5318048	5149023	51	1055091	5391917	329587	148785	5	12	0.00
21_00414282	269	117	73	58	44	32	5048091	4984699	4887526	4782456	4519475	4106976	153	333178	5010404	120998	72516	13	27	0.00
21_00414283	27	21	17	15	14	11	1747729	1744608	1734619	1718627	1698070	1578153	23	233455	1746365	154412	109815	5	8	0.00
21_00415397	28	12	10	8	8	8	1667602	1660350	1654264	1638610	1638610	1638610	18	598544	1664294	295344	122743	2	5	0.00
21_00420739	86	49	38	38	30	22	5300404	5286980	5259853	5259853	5122249	4823422	58	629986	5293432	299414	135892	7	13	0.00
21_00420742	115	51	39	35	31	25	5020888	4996245	4965001	4933356	4851729	4627036	62	635017	5004051	271329	104653	6	14	0.00
21_00427528	65	33	27	26	24	20	4547555	4537785	4521271	4514668	4476906	4331974	38	550274	4540747	227473	190148	7	12	0.00
21_00428011	33	16	13	12	10	8	1620339	1612342	1603995	1597997	1575517	1482394	23	404366	1617209	182638	118444	3	6	0.00
21_00429505	91	47	35	34	27	20	5555124	5539661	5513485	5505437	5374695	5108936	55	733685	5544978	473617	178083	5	11	0.00
21_00432145	110	99	73	69	53	37	6050301	6045044	5967132	5934864	5680853	5183995	104	410187	6048644	139538	81029	14	28	0.00
21_00436328	85	29	24	24	24	21	4628336	4607741	4594043	4594043	4594043	4493961	40	416634	4615702	279431	179195	7	12	0.00
21_00436338	153	85	60	52	42	36	5675771	5653170	5599791	5539102	5374621	5185636	95	431250	5660497	178730	95784	11	23	0.00
21_00436339	100	58	41	34	27	22	5535655	5518294	5485278	5437397	5315865	5139335	73	977436	5528002	313937	147391	6	13	0.00
21_00436340	118	53	39	34	32	24	6133420	6110904	6082732	6041997	6016511	5740273	65	693066	6119142	264997	168737	8	14	0.00
21_00441996	27	14	10	9	8	7	2973617	2969276	2959764	2953701	2938733	2905023	16	697860	2970662	505687	414740	3	4	0.00
21_00441997	31	16	10	9	8	7	2973996	2969206	2954790	2948727	2933759	2900049	18	697860	2970594	414740	350197	3	5	0.00
21_00447058	91	42	33	29	25	20	5467405	5448726	5424127	5396268	5333002	5147549	53	975623	5456305	323615	171946	6	11	0.00
21_00447060	105	54	39	32	30	23	5017249	4997702	4957088	4903354	4875844	4635908	68	843066	5007406	315334	124345	5	12	0.00
21_00447061	111	50	37	32	29	23	5649057	5626479	5599374	5561631	5504070	5282861	66	498905	5637555	341438	146906	7	13	0.00
21_00447109	243	111	77	66	52	34	5036782	4988489	4914493	4834366	4599020	4007515	139	284860	5008451	120529	56125	15	30	0.00
21_00448434	59	24	19	15	14	12	5044066	5032285	5019755	4996103	4981511	4926129	32	1191349	5037745	730705	507860	3	5	0.00
21_00448435	131	60	42	35	31	22	5020538	4994666	4944074	4889325	4840086	4529959	77	842959	5006418	315424	124285	5	12	0.00
21_00449391	157	108	80	72	56	32	4372846	4347730	4279332	4228760	3980666	3074194	131	196108	4363642	89413	45841	19	37	0.00
21_00450317	4	4	4	4	4	4	2498547	2498547	2498547	2498547	2498547	2498547	4	1519767	2498547	1519767	496337	1	2	0.00
21_00450717	18	11	9	8	7	7	1606121	1603121	1598798	1592843	1580135	1580135	13	455611	1604472	358773	181633	2	4	0.00
21_00455247	59	29	23	21	20	18	4722938	4712851	4697431	4684105	4672625	4615849	34	905766	4716439	384273	170894	4	8	0.00
21_00456377	144	108	83	73	53	35	4381234	4368424	4308770	4229939	3919934	3275097	114	207991	4373066	87029	47757	18	36	0.00
21_00456902	81	38	32	31	25	20	5557986	5544987	5526515	5521081	5433384	5266220	40	783972	5546376	358315	253107	5	10	0.00
21_00456903	110	61	38	36	31	26	5593934	5578431	5534704	5517606	5436786	5271108	68	591918	5583054	273080	126854	8	15	0.00
21_00456905	74	36	25	24	23	18	5382429	5368536	5346010	5339405	5329085	5126599	44	1029199	5374086	349963	220517	4	10	0.00
21_00457725	122	73	50	47	38	31	4361383	4340974	4287117	4264846	4112854	3860920	86	295499	4351220	132013	73311	12	22	0.00
21_00459238	303	152	104	83	60	35	5337804	5280526	5164641	5007146	4612751	3738299	192	363573	5307770	87447	42026	20	41	0.00
21_00459387	401	119	77	62	50	34	5264761	5163763	5053572	4949658	4782530	4232229	177	377502	5201064	99645	62528	13	29	0.00
21_00460396	62	29	24	23	21	19	5238545	5226240	5211840	5205760	5168850	5107865	40	1066766	5233211	386205	178688	5	9	0.00
21_00460893	49	27	24	23	23	22	4790173	4782760	4778997	4773829	4773829	4736135	29	989079	4783878	285640	174488	6	11	0.00
21_00461023	309	86	48	41	33	23	5292754	5207129	5121525	5074224	4925017	4566618	136	482633	5241775	233261	115315	8	15	0.00
21_00461173	29	16	13	12	12	11	1633455	1626693	1619972	1613922	1613922	1588860	20	289257	1629427	160524	103156	4	7	0.00
21_00461366	136	92	68	61	48	37	4374098	4351355	4297160	4251044	4068614	3663706	111	204802	4365442	95852	59428	16	31	0.00
21_00463578	394	113	77	62	51	33	5263652	5163495	5068402	4964442	4798494	4182481	166	377502	5197707	104165	64138	13	29	0.00
21_00463579	406	118	76	61	50	33	5264854	5162539	5058257	4953391	4790440	4212892	172	377502	5197575	104165	65913	13	28	0.00
21_00464567a	124	91	63	53	39	30	6381018	6367241	6291484	6218089	5954376	5653550	104	595833	6376248	235434	114644	10	20	0.00
21_00464567b	122	90	62	52	38	28	6381902	6368033	6293946	6217641	5963942	5639852	103	788538	6377169	234058	113327	8	18	0.00
21_00464568	314	215	173	142	86	52	6421448	6383041	6282637	6062221	5154131	3938635	240	150863	6400603	57980	32749	39	74	0.00
21_00465636	137	63	43	35	31	27	5559038	5528851	5483673	5425558	5344886	5205473	83	977261	5543253	226698	133019	8	16	0.00
21_00466411	266	215	115	79	53	38	5760104	5733109	5495258	5243350	4823277	4305898	237	435397	5749574	101267	49123	17	39	0.00
21_00466423	171	118	73	62	38	30	5626989	5601669	5489495	5407428	5059961	4763484	138	328838	5615481	175949	91444	13	23	0.00
21_00468068	2863	612	213	144	46	11	5781202	4632051	3958202	3450838	1880090	758996	1662	100354	5344097	16792	4527	85	224	0.00
21_00469114	71	33	27	25	22	15	4931914	4919654	4904404	4893049	4847990	4601055	38	772719	4922983	567570	167937	4	8	0.00
21_00469876	127	49	38	34	30	28	4735876	4707837	4684286	4654626	4586659	4504632	67	479447	4720264	215466	107069	8	16	0.00
21_00469877	58	28	21	19	17	14	4686382	4677054	4663413	4650772	4622877	4503322	31	714638	4679289	537136	347169	4	7	0.00
21_00470136	170	79	57	43	29	13	2128259	2094683	2036270	1932087	1713476	1140356	97	231158	2107207	54509	29079	12	25	0.00
21_00472045	97	56	42	38	32	26	5717571	5703275	5671851	5639578	5530158	5301379	65	427497	5709337	223332	161489	10	18	0.00
21_00472923	31	12	9	9	9	8	2999923	2994483	2988626	2988626	2988626	2963150	13	1416049	2995043	544893	438618	2	3	0.00
21_00472960	48	22	19	18	17	14	4678606	4670988	4665620	4659534	4648641	4549487	25	1508707	4672637	410582	227949	3	7	0.00
21_00472961	84	27	22	22	21	18	4763904	4743487	4730538	4730538	4713798	4616049	40	878559	4752013	426193	176110	4	9	0.00
21_00473675	415	110	58	48	39	30	5475166	5369010	5235858	5159270	5020652	4698249	170	371295	5409103	160663	92259	10	22	0.00
21_00474597	169	90	72	65	49	33	5772812	5741997	5702262	5650922	5387913	4783458	112	453329	5757251	142692	74863	13	26	0.00
21_00474687	47	24	19	17	17	13	4743740	4737208	4726299	4714455	4714455	4560288	26	1508252	4738623	410582	283249	3	6	0.00
21_00475198	930	365	243	167	65	12	5391509	5229577	4903978	4354870	2675387	837443	402	128472	5255954	25365	13489	64	133	0.00
21_00475200	115	84	61	51	38	27	6005173	5992869	5936119	5863736	5631276	5260018	92	572217	5998854	222926	125096	10	19	0.00
21_00475204	17	10	9	9	9	9	4888128	4885494	4883060	4883060	4883060	4883060	12	1854263	4886653	1042297	554334	2	4	0.00
21_00476192	101	46	34	31	27	21	5490031	5470129	5443169	5424896	5362950	5153909	56	782964	5477138	323505	192796	6	12	0.00
21_00476670	2190	305	196	140	54	11	4790818	4312070	4052654	3636205	2210394	750970	377	100684	4364259	25297	14071	53	110	0.00
21_00476811	81	43	25	23	22	16	4910949	4896392	4846426	4833510	4811525	4558508	52	748200	4902637	381889	209737	5	9	0.00
21_00476814	54	35	27	24	20	15	4878318	4871708	4853711	4830231	4750115	4581410	39	792389	4874474	417948	307327	5	8	0.00
21_00477330	1443	583	312	168	36	6	5353511	5070313	4342506	3321551	1384045	370957	704	83402	5153471	13942	7324	104	232	0.00
21_00477341	935	286	189	148	64	9	4575919	4327225	4102187	3798882	2429973	609023	410	97470	4413488	26494	15366	56	110	0.00
21_00477940	40	23	19	17	16	12	4739025	4734615	4725557	4713846	4700288	4552473	23	1509220	4734615	481574	283749	3	6	0.00
21_00477941	106	38	21	19	17	15	4793891	4770810	4729592	4711457	4679851	4597758	49	947892	4778757	489115	232921	4	8	0.00
21_00478397	70	30	22	21	20	16	4904862	4892529	4873341	4868140	4856477	4709523	35	1094316	4895720	416785	233226	4	8	0.00
21_00478587	59	29	23	23	22	18	4546497	4536692	4519834	4519834	4498435	4353734	35	745984	4540190	234270	195322	5	10	0.00
21_00479903	22	15	12	9	9	8	1613878	1610301	1604729	1583739	1583739	1542605	18	359003	1612452	181405	157862	3	6	0.00
21_00480757	70	43	28	28	25	20	4928107	4918888	4890883	4890883	4837983	4642786	48	664022	4922275	246565	166955	6	12	0.00
21_00482604	75	41	38	37	34	26	4767153	4755322	4747461	4741259	4691386	4395346	47	397200	4758912	229173	125365	8	16	0.00
21_00482933	419	138	73	48	38	25	5447182	5342655	5203473	5014675	4863233	4427997	197	612807	5382857	222018	87094	8	19	0.00
21_00483411	98	36	21	19	17	15	4791245	4770539	4730873	4711281	4679675	4597735	46	794864	4777696	443438	232921	5	8	0.00
21_00484301	35	22	16	15	12	11	1610137	1603717	1589663	1583482	1527685	1481695	28	230605	1607748	145998	90384	5	8	0.00
21_00484969	228	159	92	68	43	34	5810725	5779279	5629509	5467482	5080098	4729595	188	395670	5797909	161621	62184	13	28	0.00
21_00487232	59	29	23	23	22	18	4546497	4536692	4519834	4519834	4498435	4353734	35	745984	4540190	234270	195322	5	10	0.00
21_00487531	79	31	28	26	24	20	4642212	4626353	4619303	4604631	4572419	4421893	37	623089	4629730	355503	149681	5	10	0.00
21_00488171	94	66	55	51	48	31	4596742	4586564	4564837	4533070	4478773	3808876	71	327617	4590636	108984	68919	13	26	0.00
21_00488642	129	76	50	48	41	32	4410467	4389687	4332644	4317635	4202815	3859498	90	282256	4399855	124877	70738	12	24	0.00
21_00490089	40	22	17	15	13	13	5148491	5143078	5127114	5112348	5065798	5065798	23	974765	5143656	532745	291120	4	7	0.00
21_00490090	108	57	43	40	30	21	5076419	5059737	5030233	5010031	4854191	4546423	63	730626	5064256	282605	163310	7	12	0.00
21_00491399	268	152	95	77	58	35	5308719	5265191	5119078	4990767	4703404	3864941	184	261341	5287984	93032	46343	18	38	0.00
22_00002559	158	62	39	33	31	24	5065039	5028245	4974311	4933956	4906993	4639277	90	658727	5046926	200468	107209	7	14	0.00
22_00010858	153	92	65	53	43	32	5400648	5377958	5318097	5234843	5084115	4695099	103	390889	5386219	149269	91204	11	23	0.00
22_00020994	65	35	23	21	14	9	1608553	1596270	1569113	1555999	1439198	1262832	44	210636	1602637	146467	64333	5	9	0.00
22_00021095	90	46	34	30	27	22	5489317	5471696	5450687	5426244	5375291	5209117	59	977436	5480833	313936	190129	7	12	0.00
22_00021096	75	37	29	28	26	21	5262686	5249004	5228362	5220047	5184730	4988764	43	977436	5253457	305584	158556	5	11	0.00
22_00029642	32	17	14	14	14	11	4790852	4785946	4777375	4777375	4777375	4688117	18	1453232	4786885	576877	435654	3	5	0.00
22_00032938	748	327	193	122	57	20	4690852	4552779	4231160	3709154	2669886	1340524	396	124168	4601163	30335	12911	45	100	0.00
22_00032975	118	71	50	48	40	28	5319968	5300560	5242614	5228906	5090883	4641330	82	539771	5308646	186543	100480	10	20	0.00
22_00034380	108	48	36	36	32	26	4751706	4731448	4706252	4706252	4623114	4390470	59	532622	4737895	237625	98498	7	16	0.00
